,time,open,close,high,low,volume
0,2019-12-30,134.88624355,131.83378766,136.58,130.56,34877.66547881
1,2019-12-31,131.73,129.45,133.95,128.31,36596.15858349
2,2020-01-01,129.29,130.94,133.24,128.9,37253.11520052
3,2020-01-02,130.9,127.56093747,130.92,126.84158241,46993.68674209
4,2020-01-03,127.5609376,134.83,135.81,126.36,76522.13257871
5,2020-01-04,134.92,134.49,136.35,133.12,23569.04173243
6,2020-01-05,134.55,135.6,138.45,134.42,45995.4707462
7,2020-01-06,135.55,144.18,144.27,135.09,66630.37742851
8,2020-01-07,144.11686968,143.09,144.99,139.05,49511.86534466
9,2020-01-08,142.95,140.5,147.98,137.3,65435.83161747
10,2020-01-09,140.5,137.72,141.32,135.33,29637.99569793
11,2020-01-10,137.68,144.57,144.96,135.34,41787.19917651
12,2020-01-11,144.59,142.48049337,147.76,142.02,36471.31624236
13,2020-01-12,142.41,146.34,146.35,141.54,22576.91965169
14,2020-01-13,146.35,143.46,147.59,142.24,25706.7842157
15,2020-01-14,143.49,164.98,170.0,143.49,213402.38196717
16,2020-01-15,164.98826095,166.05052833,171.16,159.0,132495.01038878
17,2020-01-16,166.11,164.03,167.11,158.3,66631.59718163
18,2020-01-17,164.01,169.22,174.0,161.08683014,104133.02645983
19,2020-01-18,169.19,173.58,178.97,165.0,90529.09058589
20,2020-01-19,173.59,166.84,177.56,161.21,84549.49134347
21,2020-01-20,166.73415619,166.86,169.0,161.05,33711.78700436
22,2020-01-21,166.87,169.33,169.99,164.89,27029.71228625
23,2020-01-22,169.33,167.7,171.32,165.65,18108.21719219
24,2020-01-23,167.7,162.92,167.7,159.0689295,37895.54643585
25,2020-01-24,162.73,162.71,164.42,155.75773912,30789.58112901
26,2020-01-25,162.69,160.47,162.73482725,157.82,14482.74049287
27,2020-01-26,160.47,168.16,169.39430101,159.56,62744.58009386
28,2020-01-27,168.16,170.14,172.06,165.44762536,64445.54581126
29,2020-01-28,170.14,175.99,177.01,170.14,49565.06858128
30,2020-01-29,175.98,173.81,178.78,173.34317301,31179.81756684
31,2020-01-30,173.75,184.62,186.75,171.09300496,86590.50507676
32,2020-01-31,184.49,180.08,185.5,175.21,40934.66363326
33,2020-02-01,180.27,184.07,184.47,179.63,62116.26376461
34,2020-02-02,184.07,188.69,194.0,179.6,73836.7069714
35,2020-02-03,188.85,190.41,195.81,186.95,52546.73236811
36,2020-02-04,190.19,189.06,191.76,184.79,32832.62534273
37,2020-02-05,189.06,203.79,207.99,188.29,112613.02386584
38,2020-02-06,203.78,212.59,216.0,201.02,97268.6231596
39,2020-02-07,212.5957428,223.11,223.95,212.5957428,131052.61907302
40,2020-02-08,223.03,222.69,227.59,212.77410942,92548.18364723
41,2020-02-09,222.64,228.23,230.0,222.55,70858.48162187
42,2020-02-10,228.33,223.140188,229.21,216.1,89646.47381587
43,2020-02-11,223.14,237.24,239.0,218.24,66594.43057278
44,2020-02-12,237.02,265.49,273.73,237.02,247434.22618193
45,2020-02-13,265.54,268.3,276.02,255.42,166145.45523485
