open,high,low,close,5. volume,market cap
0.85100000,0.85800000,0.85000000,0.85700000,1649297.00000000,1649297.00000000
0.83500000,0.86000000,0.82000000,0.85100000,82865732.30000000,82865732.30000000
0.83900000,0.85800000,0.82700000,0.83500000,106462948.20000000,106462948.20000000
0.80000000,0.84000000,0.79200000,0.83800000,160796978.50000000,160796978.50000000
0.80300000,0.81700000,0.78100000,0.80000000,95462205.50000000,95462205.50000000
0.78700000,0.81600000,0.77600000,0.80200000,104141955.40000001,104141955.40000001
0.78900000,0.82100000,0.78000000,0.78600000,88733691.20000000,88733691.20000000
0.78800000,0.80200000,0.78600000,0.78900000,50466434.40000000,50466434.40000000
0.80600000,0.81900000,0.78200000,0.78800000,101514757.70000000,101514757.70000000
0.84900000,0.85400000,0.78500000,0.80700000,115075825.80000000,115075825.80000000
0.80200000,0.86300000,0.79900000,0.84900000,114971836.50000000,114971836.50000000
0.79300000,0.82100000,0.78700000,0.80200000,123861693.70000000,123861693.70000000
0.82200000,0.84700000,0.77700000,0.79300000,132775114.20000000,132775114.20000000
0.86500000,0.87200000,0.81900000,0.82300000,76546559.40000001,76546559.40000001
0.84400000,0.88300000,0.81800000,0.86400000,78739554.50000000,78739554.50000000
0.90200000,0.90300000,0.82600000,0.84400000,147015719.30000001,147015719.30000001
0.93800000,0.94600000,0.88300000,0.90300000,114772747.90000001,114772747.90000001
0.96400000,0.97700000,0.92700000,0.93900000,149491898.80000001,149491898.80000001
0.96200000,1.01100000,0.93900000,0.96300000,234764266.59999999,234764266.59999999
0.85700000,0.97000000,0.84200000,0.96200000,227929558.69999999,227929558.69999999
0.88600000,0.91500000,0.83200000,0.85600000,162004634.90000001,162004634.90000001
0.89800000,0.93000000,0.88100000,0.88700000,142052119.69999999,142052119.69999999
0.85200000,0.91000000,0.82300000,0.89800000,210840757.40000001,210840757.40000001
0.86600000,0.89900000,0.74600000,0.85300000,560130978.58000004,560130978.58000004
0.88800000,0.96000000,0.86300000,0.86600000,237719675.90000001,237719675.90000001
0.85600000,0.89700000,0.81300000,0.88800000,264842040.56999999,264842040.56999999
0.93100000,0.99300000,0.85100000,0.85600000,283488504.31000000,283488504.31000000
0.99700000,0.99800000,0.91900000,0.93100000,156774619.09999999,156774619.09999999
0.99600000,1.01900000,0.97300000,0.99600000,92102940.70000000,92102940.70000000
1.01900000,1.04300000,0.98300000,0.99500000,133614248.40000001,133614248.40000001
1.08300000,1.09400000,1.00800000,1.02000000,114535761.90000001,114535761.90000001
1.10800000,1.11200000,1.06600000,1.08200000,100925929.70000000,100925929.70000000
1.05000000,1.11500000,1.04900000,1.10700000,153934616.30000001,153934616.30000001
1.04300000,1.05500000,1.01800000,1.04900000,138982742.30000001,138982742.30000001
1.05800000,1.07600000,1.03200000,1.04200000,99247994.00000000,99247994.00000000
1.07900000,1.09200000,1.02900000,1.05900000,149173437.19999999,149173437.19999999
1.15000000,1.16400000,1.06800000,1.07900000,131818725.20000000,131818725.20000000
1.19400000,1.22500000,1.14300000,1.15000000,183604520.09999999,183604520.09999999
1.17600000,1.21500000,1.15200000,1.19500000,137109784.19999999,137109784.19999999
1.19800000,1.26300000,1.13300000,1.17600000,271657090.80000001,271657090.80000001
1.14200000,1.20900000,1.12500000,1.19900000,267801841.59999999,267801841.59999999
1.12500000,1.15000000,1.09700000,1.14300000,107099317.00000000,107099317.00000000
1.13800000,1.17800000,1.09700000,1.12500000,152710784.30000001,152710784.30000001
1.06100000,1.13900000,1.04500000,1.13800000,135205051.59999999,135205051.59999999
1.02700000,1.06200000,1.01600000,1.06100000,98542208.50000000,98542208.50000000
1.09600000,1.10300000,1.02200000,1.02700000,126857788.70000000,126857788.70000000
1.05200000,1.09600000,1.03400000,1.09600000,124526330.30000000,124526330.30000000
1.03500000,1.06000000,1.00600000,1.05100000,101218950.09999999,101218950.09999999
1.05900000,1.07700000,1.02400000,1.03500000,72352160.09999999,72352160.09999999
1.04900000,1.08400000,1.03700000,1.05900000,89531278.40000001,89531278.40000001
1.04200000,1.05900000,1.00800000,1.04800000,137690073.09999999,137690073.09999999
1.07800000,1.08000000,1.00400000,1.04200000,184762461.80000001,184762461.80000001
1.04300000,1.15700000,1.02200000,1.07700000,336503954.89999998,336503954.89999998
1.06600000,1.07400000,0.99100000,1.04300000,218828333.30000001,218828333.30000001
1.12400000,1.12500000,0.95100000,1.06500000,437410320.00000000,437410320.00000000
1.07100000,1.17000000,1.05100000,1.12400000,257147931.50000000,257147931.50000000
1.12000000,1.15500000,0.91700000,1.07100000,554287709.12000000,554287709.12000000
1.25900000,1.28200000,1.10100000,1.12000000,408519522.39999998,408519522.39999998
1.33600000,1.42700000,1.25100000,1.25900000,261063307.30000001,261063307.30000001
1.45800000,1.53400000,1.32600000,1.33700000,329948716.39999998,329948716.39999998
1.60200000,1.63800000,1.41100000,1.45800000,455949108.30000001,455949108.30000001
1.41100000,1.60700000,1.38600000,1.60300000,545675409.10000002,545675409.10000002
1.29200000,1.42200000,1.28600000,1.41000000,247977037.40000001,247977037.40000001
1.29300000,1.31900000,1.25100000,1.29100000,80421836.40000001,80421836.40000001
1.23200000,1.30900000,1.22000000,1.29200000,143281596.50000000,143281596.50000000
1.31200000,1.35400000,1.22700000,1.23300000,179029543.59999999,179029543.59999999
1.18800000,1.31400000,1.18600000,1.31200000,145608592.69999999,145608592.69999999
1.12300000,1.19600000,1.12200000,1.18700000,115267098.70000000,115267098.70000000
1.17000000,1.18100000,1.06900000,1.12300000,189250644.13999999,189250644.13999999
1.18200000,1.20600000,1.14700000,1.17000000,114093699.40000001,114093699.40000001
1.20900000,1.25400000,1.12400000,1.18100000,169730473.68000001,169730473.68000001
1.27900000,1.28500000,1.18900000,1.21000000,209806013.19999999,209806013.19999999
1.23000000,1.29700000,1.18600000,1.28000000,175754407.59999999,175754407.59999999
1.31000000,1.35300000,1.19300000,1.23000000,158740088.19999999,158740088.19999999
1.31900000,1.35200000,1.29500000,1.30900000,94479305.90000001,94479305.90000001
1.37800000,1.37800000,1.31000000,1.31900000,87155825.90000001,87155825.90000001
1.37900000,1.39100000,1.34200000,1.37700000,81011860.40000001,81011860.40000001
1.30800000,1.38000000,1.30600000,1.38000000,69007607.50000000,69007607.50000000
1.35900000,1.38300000,1.28100000,1.30800000,120612337.30000000,120612337.30000000
1.33300000,1.37800000,1.29700000,1.35900000,134171567.80000000,134171567.80000000
1.40000000,1.43800000,1.32300000,1.33200000,151404808.30000001,151404808.30000001
1.51600000,1.54000000,1.37600000,1.40000000,233458767.40000001,233458767.40000001
1.45500000,1.59400000,1.45000000,1.51600000,181165265.80000001,181165265.80000001
1.45300000,1.46700000,1.40700000,1.45500000,103769249.90000001,103769249.90000001
1.39300000,1.46000000,1.38100000,1.45200000,87587873.90000001,87587873.90000001
1.47500000,1.49100000,1.38100000,1.39200000,126360588.30000000,126360588.30000000
1.32700000,1.49000000,1.30700000,1.47500000,216795659.80000001,216795659.80000001
1.27900000,1.36900000,1.27600000,1.32700000,161174698.09999999,161174698.09999999
1.23800000,1.28900000,1.22700000,1.28000000,122949048.20000000,122949048.20000000
1.24400000,1.26100000,1.20100000,1.23700000,123106967.70000000,123106967.70000000
1.24200000,1.31200000,1.24000000,1.24300000,124074683.50000000,124074683.50000000
1.21800000,1.26700000,1.20000000,1.24200000,81211094.09999999,81211094.09999999
1.24000000,1.25900000,1.18200000,1.21800000,138092226.09999999,138092226.09999999
1.31100000,1.33100000,1.23600000,1.24000000,117662885.30000000,117662885.30000000
1.26700000,1.33100000,1.20400000,1.31100000,170247496.30000001,170247496.30000001
1.22300000,1.28400000,1.19800000,1.26600000,175476318.00000000,175476318.00000000
1.34500000,1.35700000,1.20000000,1.22300000,184388318.40000001,184388318.40000001
1.35400000,1.41500000,1.31900000,1.34600000,149463677.09999999,149463677.09999999
1.21100000,1.36200000,1.19200000,1.35400000,179118114.09999999,179118114.09999999
1.28800000,1.33400000,1.20700000,1.21100000,192968833.09999999,192968833.09999999
1.39600000,1.40900000,1.28700000,1.28900000,174568058.80000001,174568058.80000001
1.37800000,1.42300000,1.33700000,1.39600000,187594478.19999999,187594478.19999999
1.42000000,1.47900000,1.36500000,1.37800000,229514365.19999999,229514365.19999999
1.37800000,1.44200000,1.25500000,1.42000000,338310628.69999999,338310628.69999999
1.41900000,1.43500000,1.28400000,1.37800000,270618794.69999999,270618794.69999999
1.55700000,1.55800000,1.18800000,1.42000000,612957918.53999996,612957918.53999996
1.72000000,1.72900000,1.50900000,1.55600000,276255974.60000002,276255974.60000002
1.54700000,1.76000000,1.51700000,1.71900000,441382037.00000000,441382037.00000000
1.55300000,1.62200000,1.53100000,1.54800000,157458493.80000001,157458493.80000001
1.60200000,1.62900000,1.54400000,1.55400000,185671961.59999999,185671961.59999999
1.59500000,1.63600000,1.55700000,1.60100000,153848484.69999999,153848484.69999999
1.54300000,1.60000000,1.41600000,1.59400000,228010819.22000000,228010819.22000000
