open,high,low,close,5. volume,market cap
2.39400000,2.40900000,2.39300000,2.40700000,3286.40000000,3286.40000000
2.31100000,2.41000000,2.27600000,2.39300000,213403.50000000,213403.50000000
2.31500000,2.35500000,2.27400000,2.31100000,220198.20000000,220198.20000000
2.19400000,2.31700000,2.13100000,2.31600000,482280.50000000,482280.50000000
2.18600000,2.23900000,2.11100000,2.19700000,229191.30000000,229191.30000000
2.09600000,2.18900000,2.08100000,2.18400000,247603.40000000,247603.40000000
2.14900000,2.20300000,2.09400000,2.09700000,191994.80000000,191994.80000000
2.16100000,2.20000000,2.14700000,2.14700000,55557.90000000,55557.90000000
2.19400000,2.23600000,2.13300000,2.16400000,128006.70000000,128006.70000000
2.30100000,2.30900000,2.14900000,2.19600000,149587.50000000,149587.50000000
2.15900000,2.34100000,2.15500000,2.29900000,222719.50000000,222719.50000000
2.10800000,2.20000000,2.09900000,2.15600000,172498.00000000,172498.00000000
2.16800000,2.22400000,2.08200000,2.11200000,340275.30000000,340275.30000000
2.24900000,2.26600000,2.15800000,2.17100000,126401.90000000,126401.90000000
2.22600000,2.27400000,2.17600000,2.24700000,160884.60000000,160884.60000000
2.38100000,2.38400000,2.19200000,2.22600000,273313.20000000,273313.20000000
2.43800000,2.46800000,2.35000000,2.38000000,175844.30000000,175844.30000000
2.46500000,2.52800000,2.41300000,2.43600000,186808.30000000,186808.30000000
2.43800000,2.51100000,2.38300000,2.46100000,266029.70000000,266029.70000000
2.17100000,2.45200000,2.14700000,2.43500000,906000.30000000,906000.30000000
2.30000000,2.32400000,2.13700000,2.17700000,209532.20000000,209532.20000000
2.29000000,2.36700000,2.25500000,2.30000000,71414.20000000,71414.20000000
2.18500000,2.31700000,2.16300000,2.29100000,457038.90000000,457038.90000000
2.17000000,2.26800000,1.94200000,2.18200000,632027.92000000,632027.92000000
2.24200000,2.30800000,2.16300000,2.16700000,291893.60000000,291893.60000000
2.16300000,2.29500000,2.12500000,2.24400000,435342.40000000,435342.40000000
2.27900000,2.38100000,2.16100000,2.16200000,484819.50000000,484819.50000000
2.38100000,2.38100000,2.23300000,2.27700000,253286.70000000,253286.70000000
2.38000000,2.42000000,2.33500000,2.38300000,52941.40000000,52941.40000000
2.46400000,2.50400000,2.37500000,2.38400000,141749.80000000,141749.80000000
2.67100000,2.69100000,2.42900000,2.46300000,141137.70000000,141137.70000000
2.72100000,2.77900000,2.61200000,2.66700000,147751.30000000,147751.30000000
2.55300000,2.73000000,2.54300000,2.71700000,95087.90000000,95087.90000000
2.51800000,2.57600000,2.47000000,2.55000000,99934.40000000,99934.40000000
2.56000000,2.59700000,2.50600000,2.51700000,68014.20000000,68014.20000000
2.57200000,2.60900000,2.52000000,2.56700000,95494.10000000,95494.10000000
2.68800000,2.79400000,2.53600000,2.57400000,298780.50000000,298780.50000000
