open,high,low,close,5. volume,market cap
1.45000000,1.46200000,1.44600000,1.45800000,201038.10000000,201038.10000000
1.40400000,1.46100000,1.36500000,1.45000000,6760089.10000000,6760089.10000000
1.42200000,1.44400000,1.38700000,1.40400000,8901460.90000000,8901460.90000000
1.32400000,1.42800000,1.30100000,1.42300000,14377953.60000000,14377953.60000000
1.32700000,1.34400000,1.27700000,1.32400000,5310297.80000000,5310297.80000000
1.29600000,1.34100000,1.28000000,1.32800000,6067786.70000000,6067786.70000000
1.31800000,1.38500000,1.28100000,1.29600000,9846807.30000000,9846807.30000000
1.30700000,1.35300000,1.30400000,1.31800000,4102401.50000000,4102401.50000000
1.33200000,1.36900000,1.28700000,1.30800000,7587652.60000000,7587652.60000000
1.39400000,1.40200000,1.29700000,1.33200000,10681557.60000000,10681557.60000000
1.33900000,1.44600000,1.33500000,1.39300000,13667095.60000000,13667095.60000000
1.30600000,1.37700000,1.29600000,1.33900000,8912286.60000000,8912286.60000000
1.34200000,1.39700000,1.27800000,1.30500000,10422030.60000000,10422030.60000000
1.42000000,1.47500000,1.33500000,1.34200000,8752356.80000000,8752356.80000000
1.36100000,1.44100000,1.32200000,1.41900000,7422319.40000000,7422319.40000000
1.47900000,1.48500000,1.33800000,1.36100000,10765899.20000000,10765899.20000000
1.54600000,1.56100000,1.44700000,1.48000000,8248641.60000000,8248641.60000000
1.59900000,1.61700000,1.51600000,1.54600000,11766735.90000000,11766735.90000000
1.56400000,1.64300000,1.50700000,1.59800000,15474300.20000000,15474300.20000000
1.37500000,1.59300000,1.33600000,1.56500000,13371766.70000000,13371766.70000000
1.44300000,1.49300000,1.34700000,1.37500000,12341785.50000000,12341785.50000000
1.44900000,1.51700000,1.41500000,1.44200000,9722755.60000000,9722755.60000000
1.35900000,1.46600000,1.31800000,1.45100000,15040286.30000000,15040286.30000000
1.38600000,1.42500000,1.15500000,1.35900000,39644440.48000000,39644440.48000000
1.46900000,1.53800000,1.37700000,1.38600000,14588622.30000000,14588622.30000000
1.38600000,1.47400000,1.33600000,1.47000000,18636151.80000000,18636151.80000000
1.53200000,1.63700000,1.37700000,1.38500000,19328151.30000000,19328151.30000000
1.66000000,1.66400000,1.48400000,1.53200000,11254716.30000000,11254716.30000000
1.67400000,1.71500000,1.60100000,1.66000000,7199870.50000000,7199870.50000000
1.73800000,1.79900000,1.64700000,1.67500000,11205864.80000000,11205864.80000000
1.94800000,1.99700000,1.70700000,1.73800000,16565264.40000000,16565264.40000000
1.97700000,2.01400000,1.87900000,1.94900000,11805865.20000000,11805865.20000000
1.75200000,1.97900000,1.74200000,1.97700000,11299197.50000000,11299197.50000000
1.73400000,1.78100000,1.67400000,1.75100000,8887860.80000000,8887860.80000000
1.81300000,1.84000000,1.69800000,1.73400000,6675823.40000000,6675823.40000000
1.82900000,1.87400000,1.75200000,1.81300000,10379851.50000000,10379851.50000000
1.98500000,2.05500000,1.78900000,1.83000000,15482441.60000000,15482441.60000000
2.15600000,2.16000000,1.97300000,1.98500000,18264228.10000000,18264228.10000000
2.11500000,2.19000000,2.00700000,2.15600000,14738945.40000000,14738945.40000000
2.08900000,2.17200000,1.91400000,2.11500000,17258858.20000000,17258858.20000000
2.05900000,2.17000000,2.02300000,2.09000000,16570782.80000000,16570782.80000000
1.91600000,2.08000000,1.90200000,2.05800000,19026701.40000000,19026701.40000000
1.82100000,1.99400000,1.80700000,1.91500000,16052777.10000000,16052777.10000000
1.70000000,1.83700000,1.66200000,1.82100000,13279073.60000000,13279073.60000000
1.69400000,1.71200000,1.61700000,1.70100000,8125977.20000000,8125977.20000000
1.83800000,1.86100000,1.66400000,1.69300000,8657806.70000000,8657806.70000000
1.88500000,1.90700000,1.81600000,1.83700000,10911701.60000000,10911701.60000000
1.78600000,1.91700000,1.68200000,1.88400000,17310669.90000000,17310669.90000000
1.76100000,1.87900000,1.73100000,1.78400000,18122428.00000000,18122428.00000000
1.63800000,1.76200000,1.63000000,1.76000000,13446960.50000000,13446960.50000000
1.58000000,1.68900000,1.56200000,1.63800000,12089143.10000000,12089143.10000000
1.55300000,1.65300000,1.45400000,1.58100000,17390195.10000000,17390195.10000000
1.53200000,1.75000000,1.50000000,1.55200000,22819195.50000000,22819195.50000000
1.50300000,1.54600000,1.42900000,1.53200000,9908644.20000000,9908644.20000000
1.60900000,1.61100000,1.32600000,1.50300000,24296859.00000000,24296859.00000000
1.50600000,1.69200000,1.49300000,1.61300000,15522368.20000000,15522368.20000000
1.73300000,1.76600000,1.34500000,1.50800000,29148600.60000000,29148600.60000000
2.10600000,2.12300000,1.68000000,1.73200000,27415553.10000000,27415553.10000000
2.21800000,2.35500000,2.09600000,2.10900000,9132795.60000000,9132795.60000000
2.27600000,2.35000000,2.20400000,2.21900000,9802012.80000000,9802012.80000000
2.32400000,2.35100000,2.18900000,2.27300000,7535943.00000000,7535943.00000000
2.50800000,2.54100000,2.28300000,2.32400000,9317941.50000000,9317941.50000000
2.45000000,2.54200000,2.43600000,2.50800000,8500748.00000000,8500748.00000000
2.40900000,2.54800000,2.36400000,2.45200000,9066379.10000000,9066379.10000000
2.37800000,2.48900000,2.31300000,2.40800000,9527550.70000000,9527550.70000000
2.52000000,2.59700000,2.36300000,2.37900000,16930911.80000000,16930911.80000000
2.31500000,2.73300000,2.31300000,2.52000000,14096873.10000000,14096873.10000000
2.16600000,2.33100000,2.14300000,2.31200000,10162555.50000000,10162555.50000000
2.29800000,2.34700000,2.08000000,2.16700000,14548464.80000000,14548464.80000000
2.25700000,2.37100000,2.23500000,2.29700000,9160642.90000000,9160642.90000000
2.35400000,2.43700000,2.17200000,2.25800000,12375580.80000000,12375580.80000000
2.56700000,2.58900000,2.30300000,2.35300000,17849698.60000000,17849698.60000000
2.44500000,2.73300000,2.31600000,2.56800000,23130144.60000000,23130144.60000000
2.68700000,2.79300000,2.23800000,2.44200000,20412532.70000000,20412532.70000000
2.79300000,2.85900000,2.66300000,2.68800000,12944143.30000000,12944143.30000000
2.85500000,2.95100000,2.70900000,2.79200000,17530233.90000000,17530233.90000000
2.68200000,2.93300000,2.66100000,2.85400000,17881397.20000000,17881397.20000000
2.57600000,2.70200000,2.56200000,2.68300000,6490335.10000000,6490335.10000000
2.64300000,2.74300000,2.51800000,2.57500000,15144708.90000000,15144708.90000000
2.64600000,2.74900000,2.55200000,2.64400000,11203674.10000000,11203674.10000000
2.75700000,2.86400000,2.60000000,2.64800000,14281932.00000000,14281932.00000000
3.08100000,3.08300000,2.71000000,2.75700000,19634786.80000000,19634786.80000000
3.19100000,3.25200000,3.05800000,3.08100000,15800013.20000000,15800013.20000000
3.12800000,3.33900000,3.00000000,3.18900000,22049298.70000000,22049298.70000000
2.79900000,3.28000000,2.77100000,3.12800000,25781991.90000000,25781991.90000000
