open,high,low,close,5. volume,market cap
2.12800000,2.14900000,2.12800000,2.14400000,193455.10000000,193455.10000000
2.08600000,2.14500000,2.05100000,2.12800000,7737421.40000000,7737421.40000000
2.08500000,2.09600000,2.05100000,2.08500000,7535796.40000000,7535796.40000000
1.98600000,2.09400000,1.97500000,2.08400000,13815204.10000000,13815204.10000000
1.96800000,2.00900000,1.91600000,1.98600000,7717510.60000000,7717510.60000000
1.90600000,1.97600000,1.88300000,1.96800000,11128207.70000000,11128207.70000000
1.96900000,2.00700000,1.88900000,1.90600000,8741777.40000000,8741777.40000000
1.97400000,2.00900000,1.96500000,1.96800000,6474608.90000000,6474608.90000000
1.98400000,2.01700000,1.92200000,1.97400000,12299975.80000000,12299975.80000000
2.06600000,2.10100000,1.93300000,1.98300000,14361304.30000000,14361304.30000000
1.97100000,2.08000000,1.97000000,2.06600000,12617745.20000000,12617745.20000000
1.92000000,1.99400000,1.91100000,1.97100000,12435404.70000000,12435404.70000000
1.96100000,2.02000000,1.87000000,1.92000000,14384467.10000000,14384467.10000000
2.04300000,2.05800000,1.94600000,1.96200000,7923436.00000000,7923436.00000000
2.00300000,2.05300000,1.96200000,2.04400000,7267347.60000000,7267347.60000000
2.15600000,2.16600000,1.97300000,2.00300000,15281199.30000000,15281199.30000000
2.21300000,2.22300000,2.12200000,2.15500000,10018982.00000000,10018982.00000000
2.26600000,2.28500000,2.17900000,2.21300000,15152883.50000000,15152883.50000000
2.28200000,2.31300000,2.20800000,2.26500000,16154015.10000000,16154015.10000000
2.09100000,2.28300000,2.06000000,2.28200000,22646018.20000000,22646018.20000000
2.16300000,2.24900000,2.05700000,2.09200000,18943985.30000000,18943985.30000000
2.14800000,2.30000000,2.13400000,2.16300000,11571747.20000000,11571747.20000000
2.07000000,2.16400000,2.03100000,2.14700000,16347852.80000000,16347852.80000000
2.10400000,2.12400000,1.86000000,2.07000000,41371203.61000000,41371203.61000000
2.16600000,2.23200000,2.10100000,2.10400000,12395603.20000000,12395603.20000000
2.07200000,2.17900000,2.03000000,2.16700000,16132425.10000000,16132425.10000000
2.19800000,2.27500000,2.06300000,2.07300000,22739141.00000000,22739141.00000000
2.28800000,2.29800000,2.16800000,2.19900000,12410676.90000000,12410676.90000000
2.29500000,2.33700000,2.22800000,2.28800000,11509082.90000000,11509082.90000000
2.32700000,2.38100000,2.27300000,2.29500000,12205237.40000000,12205237.40000000
2.55000000,2.58200000,2.29100000,2.32700000,13175061.60000000,13175061.60000000
2.53000000,2.58000000,2.46100000,2.54900000,11140585.10000000,11140585.10000000
2.37000000,2.53800000,2.36500000,2.53000000,7038557.50000000,7038557.50000000
2.38000000,2.39600000,2.31000000,2.37000000,6127058.50000000,6127058.50000000
2.39600000,2.43200000,2.34800000,2.37900000,6117220.60000000,6117220.60000000
2.41200000,2.43600000,2.33300000,2.39500000,7831693.80000000,7831693.80000000
2.54800000,2.60100000,2.38400000,2.41300000,13008241.40000000,13008241.40000000
2.66900000,2.76700000,2.54600000,2.54800000,17084011.90000000,17084011.90000000
2.63200000,2.69800000,2.58700000,2.67000000,9825830.50000000,9825830.50000000
2.69600000,2.76800000,2.54000000,2.63100000,20001791.30000000,20001791.30000000
