open,high,low,close,5. volume,market cap
2938.84000000,2968.41000000,2937.28000000,2964.63000000,10611.70260000,10611.70260000
2811.91000000,2984.00000000,2765.59000000,2938.92000000,556535.79660000,556535.79660000
2773.80000000,2836.00000000,2746.42000000,2811.92000000,379312.54100000,379312.54100000
2617.74000000,2788.00000000,2603.38000000,2773.81000000,666224.72170000,666224.72170000
2589.42000000,2669.00000000,2507.00000000,2617.73000000,461202.30140000,461202.30140000
2515.66000000,2609.60000000,2498.67000000,2589.41000000,386630.19120000,386630.19120000
2568.80000000,2603.32000000,2493.00000000,2515.65000000,316942.16010000,316942.16010000
2556.86000000,2616.79000000,2553.39000000,2568.80000000,219236.57110000,219236.57110000
2606.69000000,2676.78000000,2522.57000000,2556.86000000,494583.65680000,494583.65680000
2726.98000000,2733.25000000,2550.27000000,2606.70000000,559004.76750000,559004.76750000
2575.98000000,2775.85000000,2567.70000000,2726.98000000,562771.74030000,562771.74030000
2491.12000000,2624.00000000,2480.15000000,2575.97000000,560719.30740000,560719.30740000
2551.30000000,2649.00000000,2445.00000000,2491.12000000,619728.84890000,619728.84890000
2665.16000000,2676.29000000,2535.00000000,2551.29000000,336487.90990000,336487.90990000
2622.11000000,2685.12000000,2589.38000000,2665.15000000,268730.30360000,268730.30360000
2834.00000000,2836.17000000,2573.00000000,2622.10000000,556178.75880000,556178.75880000
2947.31000000,2970.97000000,2785.00000000,2833.99000000,446192.23530000,446192.23530000
2976.33000000,3043.91000000,2914.21000000,2947.30000000,614623.74610000,614623.74610000
2920.83000000,3037.94000000,2854.09000000,2976.33000000,673901.69760000,673901.69760000
2616.79000000,2951.60000000,2568.62000000,2920.95000000,733794.44880000,733794.44880000
2779.47000000,2836.33000000,2557.98000000,2616.79000000,650198.77850000,650198.77850000
2768.05000000,2878.00000000,2727.50000000,2779.47000000,418485.25290000,418485.25290000
2596.26000000,2834.97000000,2571.72000000,2768.49000000,679394.17620000,679394.17620000
