open,high,low,close,5. volume,market cap
1.59230000,1.60520000,1.58170000,1.60110000,113609.00000000,113609.00000000
1.65470000,1.71340000,1.52830000,1.59230000,5129979.00000000,5129979.00000000
1.66080000,1.69500000,1.63990000,1.65460000,1979596.00000000,1979596.00000000
1.65750000,1.70790000,1.60000000,1.66080000,2568987.00000000,2568987.00000000
1.69880000,1.74020000,1.63140000,1.65710000,2131184.00000000,2131184.00000000
1.66610000,1.84000000,1.64180000,1.70010000,5965607.00000000,5965607.00000000
1.70670000,1.74890000,1.64300000,1.67150000,2302178.00000000,2302178.00000000
1.78830000,1.84700000,1.68410000,1.71160000,3096790.00000000,3096790.00000000
1.69980000,1.84000000,1.65470000,1.78840000,6511365.00000000,6511365.00000000
1.70280000,1.71980000,1.60920000,1.70130000,2745024.00000000,2745024.00000000
1.66900000,1.75340000,1.66520000,1.70130000,2925952.00000000,2925952.00000000
1.71650000,1.80000000,1.63650000,1.67140000,3476191.00000000,3476191.00000000
1.69270000,1.82600000,1.65880000,1.71610000,5749653.00000000,5749653.00000000
1.69190000,1.80570000,1.63230000,1.69530000,3692552.00000000,3692552.00000000
1.63850000,1.73000000,1.61680000,1.69070000,2248234.00000000,2248234.00000000
1.66620000,1.87270000,1.62000000,1.63860000,7547999.00000000,7547999.00000000
1.69960000,1.82900000,1.58750000,1.66640000,4292132.00000000,4292132.00000000
1.90190000,1.95560000,1.66670000,1.69950000,7779301.00000000,7779301.00000000
1.51230000,2.03000000,1.49790000,1.90200000,19065140.00000000,19065140.00000000
1.35600000,1.53790000,1.34960000,1.51170000,6016327.00000000,6016327.00000000
1.41700000,1.43230000,1.32630000,1.35650000,2432358.00000000,2432358.00000000
1.41900000,1.47000000,1.40000000,1.41610000,2908375.00000000,2908375.00000000
1.39060000,1.47000000,1.36740000,1.41950000,2998154.00000000,2998154.00000000
1.39100000,1.44350000,1.20100000,1.39060000,4856391.00000000,4856391.00000000
1.39020000,1.52870000,1.35820000,1.39080000,3541887.00000000,3541887.00000000
1.31320000,1.44000000,1.24000000,1.39040000,2750918.00000000,2750918.00000000
1.41270000,1.54670000,1.31000000,1.31450000,3431408.00000000,3431408.00000000
1.53550000,1.54110000,1.37860000,1.41120000,2461821.00000000,2461821.00000000
1.53460000,1.56000000,1.47380000,1.53430000,1751185.00000000,1751185.00000000
1.56190000,1.62370000,1.52010000,1.53540000,2572308.00000000,2572308.00000000
1.69030000,1.75200000,1.52500000,1.56210000,2957317.00000000,2957317.00000000
1.71540000,1.75730000,1.62710000,1.68990000,2862207.00000000,2862207.00000000
1.55350000,1.84990000,1.55110000,1.71730000,8662472.00000000,8662472.00000000
1.57810000,1.59800000,1.51130000,1.55420000,2916863.00000000,2916863.00000000
1.60900000,1.67260000,1.54910000,1.57810000,3327707.00000000,3327707.00000000
1.57250000,1.69710000,1.52570000,1.60700000,5300989.00000000,5300989.00000000
1.69720000,1.73220000,1.53000000,1.57150000,3914527.00000000,3914527.00000000
1.84510000,1.88130000,1.68500000,1.69730000,5934566.00000000,5934566.00000000
1.72930000,1.95000000,1.72740000,1.84500000,12783497.00000000,12783497.00000000
1.62350000,2.01270000,1.55500000,1.72980000,28981468.00000000,28981468.00000000
1.60360000,1.65430000,1.57860000,1.61960000,4569780.00000000,4569780.00000000
1.53900000,1.67000000,1.53490000,1.60290000,7411000.00000000,7411000.00000000
