open,high,low,close,5. volume,market cap
0.47810000,0.48130000,0.47770000,0.47980000,24018.00000000,24018.00000000
0.47490000,0.48190000,0.46190000,0.47870000,1048489.00000000,1048489.00000000
0.47040000,0.48250000,0.45960000,0.47490000,1877666.00000000,1877666.00000000
0.45850000,0.47430000,0.45500000,0.47040000,1318129.00000000,1318129.00000000
0.47530000,0.47570000,0.45320000,0.45850000,1330439.00000000,1330439.00000000
0.45890000,0.47840000,0.45670000,0.47470000,819274.00000000,819274.00000000
0.48010000,0.48390000,0.45690000,0.45890000,685952.00000000,685952.00000000
0.48630000,0.50800000,0.47490000,0.48030000,887783.00000000,887783.00000000
0.47840000,0.50770000,0.46320000,0.48620000,1615109.00000000,1615109.00000000
0.50090000,0.50160000,0.46830000,0.47850000,822456.00000000,822456.00000000
0.47260000,0.52500000,0.46870000,0.50020000,2031889.00000000,2031889.00000000
0.46120000,0.47930000,0.45880000,0.47360000,820553.00000000,820553.00000000
0.45880000,0.49490000,0.44870000,0.46110000,2187672.00000000,2187672.00000000
0.48210000,0.48460000,0.45710000,0.45820000,1051054.00000000,1051054.00000000
0.47170000,0.49060000,0.46600000,0.48060000,753004.00000000,753004.00000000
0.49930000,0.50120000,0.46760000,0.47170000,1123769.00000000,1123769.00000000
0.51670000,0.51930000,0.49010000,0.49990000,895221.00000000,895221.00000000
0.52740000,0.52970000,0.50850000,0.51650000,1624375.00000000,1624375.00000000
0.52900000,0.54660000,0.50850000,0.52690000,2457501.00000000,2457501.00000000
0.49460000,0.53080000,0.48710000,0.53010000,1962491.00000000,1962491.00000000
0.50770000,0.51550000,0.47670000,0.49460000,1574216.00000000,1574216.00000000
0.52240000,0.53670000,0.50470000,0.50770000,1486530.00000000,1486530.00000000
0.49850000,0.53260000,0.49220000,0.52240000,3166054.00000000,3166054.00000000
0.54070000,0.54070000,0.45130000,0.49860000,4726632.00000000,4726632.00000000
0.54180000,0.61300000,0.53410000,0.54060000,10104169.00000000,10104169.00000000
0.53500000,0.67200000,0.47410000,0.54180000,32539192.00000000,32539192.00000000
0.52240000,0.68700000,0.48800000,0.53570000,33604524.00000000,33604524.00000000
0.46940000,0.59930000,0.44690000,0.52270000,13491807.00000000,13491807.00000000
0.46370000,0.48440000,0.46020000,0.46930000,485051.00000000,485051.00000000
0.47170000,0.50420000,0.46280000,0.46470000,750243.00000000,750243.00000000
0.51500000,0.51890000,0.47050000,0.47300000,983969.00000000,983969.00000000
0.52880000,0.52970000,0.50860000,0.51500000,710119.00000000,710119.00000000
0.50980000,0.53900000,0.50870000,0.52950000,963272.00000000,963272.00000000
0.51030000,0.54580000,0.49330000,0.50870000,1154199.00000000,1154199.00000000
0.53060000,0.54590000,0.49910000,0.50930000,2001267.00000000,2001267.00000000
0.49460000,0.62380000,0.49280000,0.53040000,17093015.00000000,17093015.00000000
0.52240000,0.54410000,0.48870000,0.49430000,924883.00000000,924883.00000000
0.56400000,0.56450000,0.52210000,0.52340000,969975.00000000,969975.00000000
0.54070000,0.56790000,0.53250000,0.56410000,857133.00000000,857133.00000000
0.55240000,0.56160000,0.51200000,0.53860000,861713.00000000,861713.00000000
0.53350000,0.56000000,0.52200000,0.55220000,1044403.00000000,1044403.00000000
0.54260000,0.55360000,0.50590000,0.53290000,2711995.00000000,2711995.00000000
0.50950000,0.58350000,0.50350000,0.54100000,6574227.00000000,6574227.00000000
0.47700000,0.50980000,0.46930000,0.50980000,851654.00000000,851654.00000000
0.46830000,0.48750000,0.45310000,0.47720000,812597.00000000,812597.00000000
0.49020000,0.49540000,0.46380000,0.46790000,445881.00000000,445881.00000000
0.48510000,0.49530000,0.47940000,0.48970000,577988.00000000,577988.00000000
0.49080000,0.49350000,0.46270000,0.48530000,424932.00000000,424932.00000000
0.50100000,0.50990000,0.48600000,0.49160000,236470.00000000,236470.00000000
0.50030000,0.50910000,0.49320000,0.50020000,274179.00000000,274179.00000000
0.48990000,0.50250000,0.48210000,0.50020000,340351.00000000,340351.00000000
0.48500000,0.50250000,0.46530000,0.48970000,575471.00000000,575471.00000000
0.48980000,0.52910000,0.47660000,0.48540000,595140.00000000,595140.00000000
0.49150000,0.50950000,0.48000000,0.49090000,368914.00000000,368914.00000000
0.49750000,0.49900000,0.44620000,0.48730000,762886.20000000,762886.20000000
0.47080000,0.50160000,0.46860000,0.49710000,638812.00000000,638812.00000000
0.52760000,0.53990000,0.45540000,0.47120000,1594403.80000000,1594403.80000000
0.57390000,0.57820000,0.52190000,0.52760000,1491669.77000000,1491669.77000000
0.59460000,0.62200000,0.57010000,0.57460000,500941.00000000,500941.00000000
0.62960000,0.63070000,0.59270000,0.59460000,361905.00000000,361905.00000000
0.62190000,0.64060000,0.61130000,0.62930000,328166.00000000,328166.00000000
0.64190000,0.64310000,0.61830000,0.62410000,343591.00000000,343591.00000000
0.64810000,0.65000000,0.63800000,0.64120000,232745.00000000,232745.00000000
0.65260000,0.65560000,0.63840000,0.64640000,431625.00000000,431625.00000000
0.63730000,0.66500000,0.62550000,0.65260000,420455.00000000,420455.00000000
0.66660000,0.66790000,0.63040000,0.63920000,487000.00000000,487000.00000000
0.64000000,0.67770000,0.63250000,0.66660000,1014172.00000000,1014172.00000000
0.62010000,0.64280000,0.61350000,0.64050000,443251.00000000,443251.00000000
0.63140000,0.64380000,0.59180000,0.62010000,623125.47000000,623125.47000000
0.62050000,0.64330000,0.61350000,0.63270000,803117.00000000,803117.00000000
0.65180000,0.68200000,0.61000000,0.62120000,729783.00000000,729783.00000000
0.68250000,0.68260000,0.62750000,0.64930000,588243.06000000,588243.06000000
0.70250000,0.71980000,0.65740000,0.68250000,795979.00000000,795979.00000000
0.74510000,0.77030000,0.65480000,0.70190000,1298073.00000000,1298073.00000000
0.73170000,0.77350000,0.71800000,0.74510000,1451732.00000000,1451732.00000000
0.75350000,0.75900000,0.71500000,0.72930000,616149.00000000,616149.00000000
0.73940000,0.75840000,0.73200000,0.75620000,496540.00000000,496540.00000000
0.72980000,0.74890000,0.72030000,0.73930000,598602.00000000,598602.00000000
0.76160000,0.76770000,0.71390000,0.72980000,1121739.00000000,1121739.00000000
0.72090000,0.88000000,0.71140000,0.76160000,3608968.00000000,3608968.00000000
0.74950000,0.76710000,0.71540000,0.71950000,662472.00000000,662472.00000000
0.80300000,0.80950000,0.74290000,0.74980000,1162221.00000000,1162221.00000000
0.79630000,0.98000000,0.79600000,0.80290000,5030843.00000000,5030843.00000000
0.80030000,0.80890000,0.76290000,0.79630000,1223008.00000000,1223008.00000000
0.78760000,0.90820000,0.78510000,0.80030000,6069581.00000000,6069581.00000000
0.77190000,0.81760000,0.75390000,0.78580000,1540416.00000000,1540416.00000000
0.72610000,0.79500000,0.70430000,0.77190000,3702382.00000000,3702382.00000000
0.70050000,0.73330000,0.69930000,0.72620000,842535.00000000,842535.00000000
0.68760000,0.70770000,0.67870000,0.70080000,543727.00000000,543727.00000000
0.71000000,0.71650000,0.65590000,0.68570000,762691.00000000,762691.00000000
0.72580000,0.73820000,0.69550000,0.71150000,598546.00000000,598546.00000000
0.69970000,0.76700000,0.68960000,0.72580000,1572882.00000000,1572882.00000000
0.70900000,0.77000000,0.68650000,0.70000000,1978116.00000000,1978116.00000000
0.72100000,0.75560000,0.70140000,0.71120000,1242089.00000000,1242089.00000000
0.68730000,0.74840000,0.66420000,0.72250000,1402110.00000000,1402110.00000000
0.69280000,0.76240000,0.65830000,0.68730000,2359593.00000000,2359593.00000000
0.77000000,0.77190000,0.66000000,0.69340000,1772351.00000000,1772351.00000000
0.77870000,0.81500000,0.75950000,0.77000000,4890818.00000000,4890818.00000000
