open,high,low,close,5. volume,market cap
3.38500000,3.47300000,3.38200000,3.41500000,442698.00000000,442698.00000000
3.11200000,3.52000000,3.09600000,3.38600000,9100159.41300000,9100159.41300000
3.06300000,3.18100000,2.92200000,3.11300000,4545223.50000000,4545223.50000000
3.05800000,3.28600000,2.92600000,3.06200000,7930919.00000000,7930919.00000000
2.89500000,3.16700000,2.83800000,3.05800000,12463034.80000000,12463034.80000000
2.58300000,2.91700000,2.51300000,2.89500000,6832719.30000000,6832719.30000000
2.74700000,2.87800000,2.55300000,2.58300000,4415615.30000000,4415615.30000000
2.57500000,2.90900000,2.56400000,2.74800000,7622933.50000000,7622933.50000000
2.76700000,2.76700000,2.54700000,2.57400000,6361920.60000000,6361920.60000000
3.10500000,3.22300000,2.72400000,2.76800000,11983608.40000000,11983608.40000000
3.06400000,3.31700000,2.85200000,3.10600000,17661528.69000000,17661528.69000000
2.46100000,3.18800000,2.44000000,3.06500000,28346534.54400000,28346534.54400000
2.22500000,2.57100000,2.21600000,2.46300000,10533119.40000000,10533119.40000000
2.34400000,2.51100000,2.22400000,2.22400000,7836164.70000000,7836164.70000000
2.50600000,2.50800000,2.30500000,2.34700000,5393482.00000000,5393482.00000000
2.77300000,2.88800000,2.46000000,2.50700000,9608780.20000000,9608780.20000000
2.76800000,2.93600000,2.66800000,2.77600000,10023035.10600000,10023035.10600000
2.56900000,2.89900000,2.43900000,2.76900000,14023585.92400000,14023585.92400000
2.44400000,2.68200000,2.37600000,2.57000000,17209622.59100000,17209622.59100000
1.89700000,2.49100000,1.82200000,2.44400000,9948294.03100000,9948294.03100000
1.85500000,2.06000000,1.77600000,1.89600000,6172997.00000000,6172997.00000000
1.86400000,1.95700000,1.81300000,1.85500000,2815643.60000000,2815643.60000000
1.81500000,1.87900000,1.71600000,1.86200000,5314168.40000000,5314168.40000000
1.72300000,1.85900000,1.51600000,1.81300000,7242752.50000000,7242752.50000000
1.79100000,1.84300000,1.71000000,1.72200000,5973404.80000000,5973404.80000000
1.76100000,1.80100000,1.64900000,1.79200000,6441229.90000000,6441229.90000000
2.02400000,2.11300000,1.75100000,1.76100000,11148379.90000000,11148379.90000000
1.97800000,2.06900000,1.83700000,2.02000000,6374459.10000000,6374459.10000000
2.12100000,2.14500000,1.95300000,1.97900000,5697474.20000000,5697474.20000000
2.27400000,2.33200000,2.11700000,2.12300000,5835284.50000000,5835284.50000000
2.28500000,2.38800000,2.16500000,2.27700000,10390303.80000000,10390303.80000000
2.17400000,2.34000000,2.08800000,2.28500000,8358439.00000000,8358439.00000000
1.92300000,2.19700000,1.89600000,2.17300000,7418200.40000000,7418200.40000000
1.81800000,1.93300000,1.74600000,1.92300000,2357336.20000000,2357336.20000000
1.84600000,1.87500000,1.77000000,1.82000000,1868355.10000000,1868355.10000000
1.91200000,1.91700000,1.77000000,1.84300000,3779724.90000000,3779724.90000000
1.87300000,2.17300000,1.82200000,1.91400000,10116982.60000000,10116982.60000000
1.97100000,1.98400000,1.83000000,1.87000000,4388674.50000000,4388674.50000000
1.91700000,1.99900000,1.85900000,1.97200000,3959200.20000000,3959200.20000000
2.00200000,2.00600000,1.80800000,1.91700000,6139968.70000000,6139968.70000000
2.07400000,2.07700000,1.94400000,2.00200000,5152245.30000000,5152245.30000000
2.05100000,2.08200000,1.94700000,2.07500000,3038508.50000000,3038508.50000000
2.08800000,2.13500000,1.99600000,2.05200000,3448091.60000000,3448091.60000000
2.03300000,2.10000000,1.96500000,2.08700000,4564791.40000000,4564791.40000000
1.86200000,2.05400000,1.81100000,2.02900000,7629303.20000000,7629303.20000000
1.87700000,2.05000000,1.84100000,1.86000000,7004981.20000000,7004981.20000000
1.88600000,1.98000000,1.84400000,1.87800000,4709036.30000000,4709036.30000000
1.73800000,1.93900000,1.65100000,1.88400000,8565434.40000000,8565434.40000000
1.73100000,1.74300000,1.63800000,1.73800000,2916747.30000000,2916747.30000000
1.79300000,1.81800000,1.68600000,1.73100000,4869689.90000000,4869689.90000000
1.80400000,1.84000000,1.68000000,1.79500000,5627804.20000000,5627804.20000000
1.72500000,1.86800000,1.61300000,1.80300000,10238392.70000000,10238392.70000000
1.66000000,1.78700000,1.60200000,1.72600000,6746655.20000000,6746655.20000000
1.55400000,1.74600000,1.55200000,1.65800000,8201540.40000000,8201540.40000000
1.46400000,1.57200000,1.28800000,1.55600000,6757878.40000000,6757878.40000000
1.50500000,1.53900000,1.37100000,1.46300000,4772562.10000000,4772562.10000000
1.43200000,1.55000000,1.25000000,1.50500000,13158267.20000000,13158267.20000000
1.58000000,1.71000000,1.38000000,1.43200000,12103309.10000000,12103309.10000000
1.54200000,1.66800000,1.49000000,1.58300000,6783721.50000000,6783721.50000000
1.47200000,1.60000000,1.37900000,1.54100000,4435445.00000000,4435445.00000000
1.60900000,1.66800000,1.45400000,1.47300000,4734464.30000000,4734464.30000000
1.53900000,1.63900000,1.47700000,1.61000000,5705731.30000000,5705731.30000000
1.52600000,1.54400000,1.45600000,1.53800000,1898889.40000000,1898889.40000000
1.41800000,1.57300000,1.40900000,1.52600000,2813129.00000000,2813129.00000000
1.37600000,1.43300000,1.35100000,1.41900000,1805923.00000000,1805923.00000000
1.39900000,1.45000000,1.36900000,1.37700000,1793357.60000000,1793357.60000000
1.34200000,1.41300000,1.34000000,1.40100000,2693184.30000000,2693184.30000000
1.33600000,1.39300000,1.31300000,1.34100000,2694922.40000000,2694922.40000000
