open,high,low,close,5. volume,market cap
2.12600000,2.12600000,2.10600000,2.12000000,26290.10000000,26290.10000000
2.09500000,2.17000000,2.04300000,2.12700000,419306.90000000,419306.90000000
2.07400000,2.13000000,2.04700000,2.09600000,402150.20000000,402150.20000000
2.01600000,2.08100000,1.97500000,2.07800000,617966.80000000,617966.80000000
2.05800000,2.05800000,1.96400000,2.01700000,422180.70000000,422180.70000000
2.02800000,2.06400000,1.96900000,2.05800000,445403.10000000,445403.10000000
2.12400000,2.15600000,1.98500000,2.02700000,378351.50000000,378351.50000000
2.12200000,2.17800000,2.09900000,2.12400000,331201.20000000,331201.20000000
2.17100000,2.18300000,2.07600000,2.12000000,518065.00000000,518065.00000000
1.99900000,2.35000000,1.99100000,2.17700000,3598295.90000000,3598295.90000000
1.87300000,2.02200000,1.87300000,2.00200000,634286.60000000,634286.60000000
1.87400000,1.96400000,1.86200000,1.87000000,510627.90000000,510627.90000000
2.08400000,2.18400000,1.86900000,1.87400000,1306517.50000000,1306517.50000000
1.93600000,2.40000000,1.85300000,2.08400000,3734016.80000000,3734016.80000000
1.90500000,1.93900000,1.82700000,1.93500000,377718.50000000,377718.50000000
2.09600000,2.15000000,1.90000000,1.90400000,987341.60000000,987341.60000000
1.95200000,2.20300000,1.95000000,2.09600000,2195547.50000000,2195547.50000000
1.97600000,2.02200000,1.89100000,1.95100000,1249176.30000000,1249176.30000000
1.71300000,2.41800000,1.70500000,1.97600000,6991823.50000000,6991823.50000000
1.51800000,1.72000000,1.49700000,1.71300000,365434.10000000,365434.10000000
1.57200000,1.61700000,1.51300000,1.51600000,197891.70000000,197891.70000000
1.61600000,1.66100000,1.56700000,1.57100000,335287.00000000,335287.00000000
1.53500000,1.63000000,1.52200000,1.61500000,265134.00000000,265134.00000000
1.59800000,1.60800000,1.37600000,1.53200000,589763.90000000,589763.90000000
1.63100000,1.67900000,1.58700000,1.60100000,151278.40000000,151278.40000000
1.61800000,1.69900000,1.59200000,1.63500000,298693.30000000,298693.30000000
1.61300000,1.77800000,1.60400000,1.61200000,414176.90000000,414176.90000000
1.66300000,1.66600000,1.59100000,1.61400000,196679.00000000,196679.00000000
1.65500000,1.78500000,1.65200000,1.66400000,626073.50000000,626073.50000000
1.65600000,1.67400000,1.62600000,1.65900000,171709.30000000,171709.30000000
1.81100000,1.82600000,1.64600000,1.65600000,231426.70000000,231426.70000000
1.87500000,1.93000000,1.80100000,1.81300000,172332.30000000,172332.30000000
1.75500000,1.89700000,1.75100000,1.87500000,171950.30000000,171950.30000000
1.72300000,1.86000000,1.70900000,1.75800000,265371.70000000,265371.70000000
1.77700000,1.78900000,1.71600000,1.72200000,191972.70000000,191972.70000000
1.78100000,1.91100000,1.75600000,1.78100000,236767.50000000,236767.50000000
1.88400000,1.88400000,1.75900000,1.78000000,212661.30000000,212661.30000000
1.98900000,2.02100000,1.84700000,1.88300000,412678.80000000,412678.80000000
1.86200000,2.02700000,1.82900000,1.98900000,405865.40000000,405865.40000000
1.92100000,1.93400000,1.79800000,1.85700000,366513.60000000,366513.60000000
1.85500000,1.97500000,1.83300000,1.92000000,491679.60000000,491679.60000000
1.79900000,1.87300000,1.78000000,1.85100000,227201.30000000,227201.30000000
1.78800000,1.89400000,1.78000000,1.80000000,441362.50000000,441362.50000000
1.62800000,1.81000000,1.61800000,1.79400000,537115.70000000,537115.70000000
1.60000000,1.63700000,1.58600000,1.62800000,321394.70000000,321394.70000000
1.60300000,1.68000000,1.56100000,1.60000000,555655.60000000,555655.60000000
