open,high,low,close,5. volume,market cap
111.80000000,112.80000000,111.70000000,112.50000000,13759.19400000,13759.19400000
110.20000000,113.00000000,107.70000000,111.90000000,362061.81100000,362061.81100000
111.30000000,111.70000000,108.50000000,110.20000000,315598.56500000,315598.56500000
106.90000000,112.20000000,105.60000000,111.40000000,627565.50400000,627565.50400000
105.50000000,108.60000000,102.40000000,106.80000000,455884.75200000,455884.75200000
101.70000000,106.40000000,100.80000000,105.60000000,461259.96100000,461259.96100000
105.50000000,107.40000000,101.00000000,101.70000000,267778.84900000,267778.84900000
104.60000000,108.00000000,104.50000000,105.60000000,273690.90200000,273690.90200000
102.60000000,107.00000000,99.60000000,104.60000000,462322.47300000,462322.47300000
106.90000000,107.10000000,99.50000000,102.50000000,544416.31200000,544416.31200000
100.80000000,109.30000000,100.40000000,106.90000000,548748.75900000,548748.75900000
98.30000000,102.60000000,97.80000000,100.70000000,489248.08300000,489248.08300000
101.10000000,103.90000000,96.20000000,98.40000000,518331.08900000,518331.08900000
104.90000000,106.00000000,100.60000000,101.10000000,312844.28200000,312844.28200000
101.00000000,105.40000000,99.40000000,104.90000000,298763.79800000,298763.79800000
111.70000000,112.70000000,99.00000000,101.00000000,635993.78500000,635993.78500000
110.30000000,113.00000000,107.90000000,111.70000000,638112.36100000,638112.36100000
112.50000000,114.70000000,109.10000000,110.30000000,513465.21700000,513465.21700000
113.70000000,116.00000000,109.40000000,112.50000000,601477.27400000,601477.27400000
102.90000000,113.90000000,101.20000000,113.70000000,574622.74000000,574622.74000000
108.10000000,110.20000000,101.10000000,102.90000000,417924.62600000,417924.62600000
109.20000000,115.00000000,106.60000000,108.20000000,456598.44000000,456598.44000000
104.20000000,110.70000000,101.50000000,109.20000000,604602.87800000,604602.87800000
105.30000000,111.00000000,90.00000000,104.10000000,1288797.47718000,1288797.47718000
107.40000000,111.50000000,104.90000000,105.40000000,432495.97000000,432495.97000000
102.70000000,107.90000000,100.20000000,107.40000000,537388.74300000,537388.74300000
110.60000000,114.50000000,102.00000000,102.80000000,631230.77700000,631230.77700000
115.50000000,115.80000000,108.40000000,110.60000000,468241.93100000,468241.93100000
114.90000000,117.20000000,113.00000000,115.50000000,361933.43400000,361933.43400000
116.30000000,123.60000000,114.10000000,114.90000000,686552.34700000,686552.34700000
127.80000000,129.00000000,114.80000000,116.30000000,535445.23600000,535445.23600000
131.60000000,131.80000000,125.40000000,127.70000000,325088.11600000,325088.11600000
124.60000000,132.60000000,123.90000000,131.50000000,372015.05500000,372015.05500000
125.60000000,127.00000000,121.40000000,124.60000000,311463.00100000,311463.00100000
126.70000000,128.90000000,123.50000000,125.60000000,261891.16100000,261891.16100000
125.60000000,127.60000000,120.80000000,126.70000000,328295.30400000,328295.30400000
134.50000000,134.80000000,124.80000000,125.60000000,536508.56300000,536508.56300000
140.00000000,143.80000000,134.00000000,134.60000000,722895.22100000,722895.22100000
133.60000000,141.00000000,132.00000000,140.10000000,615072.43700000,615072.43700000
137.40000000,142.90000000,130.40000000,133.70000000,974024.21000000,974024.21000000
127.50000000,139.90000000,125.00000000,137.40000000,694509.79500000,694509.79500000
121.80000000,128.00000000,120.50000000,127.60000000,415141.01800000,415141.01800000
121.30000000,123.80000000,118.80000000,121.70000000,442597.01500000,442597.01500000
110.90000000,121.50000000,108.70000000,121.30000000,649501.13800000,649501.13800000
108.30000000,111.10000000,105.40000000,111.00000000,380748.90300000,380748.90300000
115.10000000,116.00000000,107.30000000,108.30000000,512026.26700000,512026.26700000
109.40000000,116.90000000,108.20000000,115.00000000,597661.67900000,597661.67900000
108.50000000,111.30000000,104.30000000,109.50000000,447814.46700000,447814.46700000
110.90000000,112.20000000,107.00000000,108.60000000,276376.29100000,276376.29100000
109.50000000,112.40000000,107.50000000,110.80000000,345775.89900000,345775.89900000
106.80000000,110.00000000,105.20000000,109.40000000,463842.23800000,463842.23800000
107.00000000,110.00000000,102.80000000,106.90000000,563991.76600000,563991.76600000
107.90000000,116.50000000,104.60000000,106.90000000,774954.38200000,774954.38200000
109.60000000,109.90000000,105.10000000,107.80000000,589373.56300000,589373.56300000
112.30000000,112.30000000,97.50000000,109.50000000,1098206.51900000,1098206.51900000
108.40000000,112.80000000,105.60000000,112.30000000,588082.31700000,588082.31700000
114.50000000,117.00000000,96.30000000,108.40000000,1345786.19070000,1345786.19070000
129.60000000,131.10000000,109.80000000,114.50000000,1024703.15234000,1024703.15234000
136.20000000,142.90000000,128.80000000,129.70000000,404805.36500000,404805.36500000
141.40000000,143.00000000,133.20000000,136.20000000,437642.16500000,437642.16500000
151.10000000,153.40000000,138.60000000,141.50000000,605404.35900000,605404.35900000
146.40000000,153.90000000,144.10000000,151.20000000,809014.89500000,809014.89500000
147.60000000,149.00000000,143.20000000,146.40000000,323952.66500000,323952.66500000
144.70000000,150.70000000,144.00000000,147.70000000,461786.03600000,461786.03600000
136.70000000,146.70000000,135.80000000,144.70000000,588107.75200000,588107.75200000
142.00000000,142.40000000,134.60000000,136.70000000,462389.15400000,462389.15400000
131.60000000,142.30000000,130.80000000,141.90000000,387745.56700000,387745.56700000
126.60000000,133.50000000,125.70000000,131.60000000,396300.22000000,396300.22000000
130.80000000,131.50000000,120.70000000,126.50000000,621002.30603000,621002.30603000
129.40000000,132.60000000,127.70000000,130.90000000,321828.34300000,321828.34300000
131.40000000,134.80000000,124.80000000,129.40000000,450291.35478000,450291.35478000
135.90000000,136.50000000,125.90000000,131.40000000,733975.31191000,733975.31191000
135.30000000,138.10000000,132.40000000,135.90000000,531427.35700000,531427.35700000
146.50000000,150.00000000,129.80000000,135.40000000,601964.05700000,601964.05700000
148.40000000,151.70000000,145.20000000,146.50000000,331705.66300000,331705.66300000
151.10000000,151.20000000,146.00000000,148.50000000,291038.87300000,291038.87300000
150.80000000,153.40000000,147.80000000,151.20000000,228350.08700000,228350.08700000
