open,high,low,close,5. volume,market cap
2.45060000,2.46210000,2.44760000,2.45610000,572985.00000000,572985.00000000
2.43970000,2.46590000,2.35010000,2.45000000,20146621.00000000,20146621.00000000
2.49270000,2.53540000,2.41430000,2.43970000,26921827.00000000,26921827.00000000
2.27190000,2.50400000,2.24500000,2.49270000,48615967.00000000,48615967.00000000
2.30480000,2.32510000,2.22800000,2.27230000,18805716.00000000,18805716.00000000
2.25090000,2.32070000,2.22220000,2.30520000,20851872.00000000,20851872.00000000
2.31030000,2.44630000,2.23040000,2.25140000,26899337.00000000,26899337.00000000
2.30630000,2.35840000,2.30010000,2.30990000,10667537.00000000,10667537.00000000
2.37000000,2.41000000,2.29680000,2.30570000,19594178.00000000,19594178.00000000
2.49460000,2.51270000,2.32410000,2.37000000,23004717.00000000,23004717.00000000
2.39250000,2.54720000,2.38570000,2.49440000,26278269.00000000,26278269.00000000
2.35460000,2.44110000,2.33710000,2.39260000,21076721.00000000,21076721.00000000
2.41750000,2.52600000,2.30000000,2.35440000,29053515.00000000,29053515.00000000
2.55820000,2.59350000,2.41100000,2.41690000,20123532.00000000,20123532.00000000
2.47970000,2.57090000,2.40670000,2.55830000,19839370.00000000,19839370.00000000
2.63660000,2.64220000,2.43440000,2.47920000,32065117.00000000,32065117.00000000
2.75160000,2.76580000,2.58120000,2.63690000,27834792.00000000,27834792.00000000
2.83930000,2.85510000,2.70210000,2.75190000,36757605.00000000,36757605.00000000
2.84860000,2.92920000,2.74010000,2.83920000,55888069.00000000,55888069.00000000
2.55750000,2.86800000,2.45380000,2.84770000,53668633.00000000,53668633.00000000
2.68120000,2.74970000,2.50020000,2.55760000,48264868.00000000,48264868.00000000
2.74030000,2.84930000,2.64680000,2.68110000,34925243.00000000,34925243.00000000
2.58770000,2.78600000,2.51730000,2.74010000,59707774.00000000,59707774.00000000
2.55430000,2.69980000,2.19820000,2.58800000,107403418.00000000,107403418.00000000
2.64570000,2.81040000,2.54550000,2.55420000,52445581.00000000,52445581.00000000
2.48270000,2.65560000,2.38000000,2.64570000,57877109.00000000,57877109.00000000
2.69360000,2.95490000,2.45400000,2.48270000,83990154.00000000,83990154.00000000
2.88800000,2.88820000,2.61220000,2.69470000,31713852.00000000,31713852.00000000
2.96540000,3.03720000,2.81000000,2.88750000,25997012.00000000,25997012.00000000
3.07720000,3.17610000,2.90550000,2.96570000,41429429.00000000,41429429.00000000
3.26040000,3.38440000,3.00570000,3.07680000,62767333.00000000,62767333.00000000
3.33580000,3.40000000,3.16380000,3.26140000,55524789.00000000,55524789.00000000
2.84110000,3.34000000,2.83240000,3.33510000,49225626.00000000,49225626.00000000
2.82030000,2.89410000,2.71660000,2.84090000,23722533.00000000,23722533.00000000
2.90920000,2.98000000,2.75310000,2.81900000,25340580.00000000,25340580.00000000
2.91800000,3.01990000,2.81790000,2.90920000,34241944.00000000,34241944.00000000
3.13670000,3.27170000,2.85500000,2.91890000,42091758.00000000,42091758.00000000
3.34410000,3.36360000,3.08270000,3.13660000,50486199.00000000,50486199.00000000
3.46930000,3.54970000,3.25190000,3.34450000,50048692.00000000,50048692.00000000
3.28720000,3.49000000,3.11030000,3.47070000,65611874.00000000,65611874.00000000
3.29940000,3.45750000,3.21550000,3.28630000,67691802.00000000,67691802.00000000
3.01160000,3.39300000,3.01150000,3.29960000,76203083.00000000,76203083.00000000
