open,high,low,close,5. volume,market cap
2034.00000000,2099.00000000,2031.00000000,2070.00000000,390.30970000,390.30970000
2060.00000000,2100.00000000,2030.00000000,2035.00000000,3295.35250000,3295.35250000
1925.00000000,2095.00000000,1922.00000000,2060.00000000,3995.63630000,3995.63630000
1785.00000000,2015.00000000,1738.00000000,1925.00000000,4802.05570000,4802.05570000
1795.00000000,1863.00000000,1720.00000000,1785.00000000,1559.93500000,1559.93500000
1686.00000000,1798.00000000,1672.00000000,1795.00000000,1238.40540000,1238.40540000
1739.00000000,1784.00000000,1673.00000000,1688.00000000,850.29630000,850.29630000
1749.00000000,1798.00000000,1738.00000000,1739.00000000,818.65310000,818.65310000
1770.00000000,1797.00000000,1702.00000000,1749.00000000,1890.52340000,1890.52340000
1901.00000000,1918.00000000,1760.00000000,1769.00000000,2762.37660000,2762.37660000
1749.00000000,1925.00000000,1741.00000000,1902.00000000,2718.85170000,2718.85170000
1739.00000000,1794.00000000,1717.00000000,1749.00000000,2965.70110000,2965.70110000
1719.00000000,1814.00000000,1669.00000000,1739.00000000,2353.28120000,2353.28120000
1840.00000000,1860.00000000,1718.00000000,1719.00000000,1557.47840000,1557.47840000
1796.00000000,1870.00000000,1749.00000000,1839.00000000,2332.71450000,2332.71450000
2040.00000000,2050.00000000,1777.00000000,1796.00000000,2523.27580000,2523.27580000
1993.00000000,2080.00000000,1885.00000000,2039.00000000,3923.99930000,3923.99930000
1969.00000000,2034.00000000,1912.00000000,1995.00000000,1991.21430000,1991.21430000
1966.00000000,2038.00000000,1909.00000000,1965.00000000,1829.66740000,1829.66740000
1811.00000000,1967.00000000,1758.00000000,1965.00000000,3172.34460000,3172.34460000
1940.00000000,1980.00000000,1784.00000000,1810.00000000,2359.90080000,2359.90080000
1989.00000000,2051.00000000,1925.00000000,1941.00000000,2434.51670000,2434.51670000
1894.00000000,2068.00000000,1841.00000000,1990.00000000,2522.12480000,2522.12480000
1738.00000000,1942.00000000,1512.00000000,1893.00000000,4608.66050000,4608.66050000
1813.00000000,1875.00000000,1737.00000000,1739.00000000,1204.75840000,1204.75840000
1666.00000000,1834.00000000,1637.00000000,1814.00000000,2636.56470000,2636.56470000
1778.00000000,1862.00000000,1661.00000000,1665.00000000,1809.15680000,1809.15680000
1912.00000000,1913.00000000,1746.00000000,1776.00000000,1562.91120000,1562.91120000
1901.00000000,1934.00000000,1844.00000000,1911.00000000,643.70010000,643.70010000
1971.00000000,2015.00000000,1887.00000000,1900.00000000,754.74500000,754.74500000
2127.00000000,2151.00000000,1944.00000000,1972.00000000,1045.24760000,1045.24760000
2103.00000000,2181.00000000,2021.00000000,2124.00000000,1833.81200000,1833.81200000
1938.00000000,2104.00000000,1928.00000000,2101.00000000,1360.13140000,1360.13140000
1924.00000000,1990.00000000,1869.00000000,1937.00000000,1138.68330000,1138.68330000
1993.00000000,2035.00000000,1924.00000000,1924.00000000,923.78030000,923.78030000
2024.00000000,2053.00000000,1958.00000000,1991.00000000,1185.80440000,1185.80440000
2102.00000000,2132.00000000,1968.00000000,2025.00000000,1729.26880000,1729.26880000
2245.00000000,2337.00000000,2086.00000000,2103.00000000,2842.43890000,2842.43890000
2206.00000000,2267.00000000,2144.00000000,2247.00000000,1190.22680000,1190.22680000
2254.00000000,2320.00000000,2164.00000000,2206.00000000,2961.94920000,2961.94920000
2247.00000000,2291.00000000,2192.00000000,2250.00000000,2699.64840000,2699.64840000
2254.00000000,2300.00000000,2185.00000000,2243.00000000,1829.10990000,1829.10990000
2283.00000000,2330.00000000,2233.00000000,2256.00000000,3731.14240000,3731.14240000
2293.00000000,2366.00000000,2217.00000000,2280.00000000,4184.64290000,4184.64290000
2143.00000000,2339.00000000,2126.00000000,2295.00000000,3700.05820000,3700.05820000
2195.00000000,2312.00000000,2089.00000000,2141.00000000,2369.15330000,2369.15330000
2134.00000000,2243.00000000,2126.00000000,2196.00000000,2115.62080000,2115.62080000
1999.00000000,2146.00000000,1937.00000000,2133.00000000,2235.26230000,2235.26230000
1953.00000000,2009.00000000,1920.00000000,1999.00000000,1201.98210000,1201.98210000
1869.00000000,1966.00000000,1856.00000000,1952.00000000,1600.82040000,1600.82040000
1769.00000000,1880.00000000,1730.00000000,1871.00000000,1725.58300000,1725.58300000
1702.00000000,1793.00000000,1646.00000000,1766.00000000,1789.87630000,1789.87630000
1809.00000000,1875.00000000,1664.00000000,1704.00000000,5048.64940000,5048.64940000
1922.00000000,1946.00000000,1795.00000000,1808.00000000,3492.31030000,3492.31030000
1833.00000000,1964.00000000,1652.00000000,1921.00000000,3903.15050000,3903.15050000
1800.00000000,1922.00000000,1762.00000000,1832.00000000,2832.53320000,2832.53320000
1799.00000000,2093.00000000,1616.00000000,1799.00000000,11887.79920000,11887.79920000
1901.00000000,1919.00000000,1700.00000000,1801.00000000,4843.78635000,4843.78635000
1996.00000000,2062.00000000,1896.00000000,1905.00000000,984.45850000,984.45850000
2065.00000000,2066.00000000,1993.00000000,1996.00000000,1079.09750000,1079.09750000
2095.00000000,2125.00000000,2030.00000000,2063.00000000,928.59160000,928.59160000
2254.00000000,2272.00000000,2073.00000000,2094.00000000,1087.28760000,1087.28760000
2210.00000000,2260.00000000,2180.00000000,2255.00000000,613.29470000,613.29470000
2193.00000000,2244.00000000,2167.00000000,2212.00000000,608.34650000,608.34650000
2097.00000000,2198.00000000,2082.00000000,2191.00000000,749.64220000,749.64220000
2168.00000000,2200.00000000,2075.00000000,2097.00000000,1172.04870000,1172.04870000
2075.00000000,2181.00000000,2039.00000000,2168.00000000,1410.31050000,1410.31050000
1987.00000000,2087.00000000,1974.00000000,2076.00000000,1350.75090000,1350.75090000
2122.00000000,2147.00000000,1935.00000000,1987.00000000,1944.75021000,1944.75021000
2048.00000000,2160.00000000,2034.00000000,2122.00000000,1026.56310000,1026.56310000
2133.00000000,2194.00000000,2000.00000000,2047.00000000,2379.21951000,2379.21951000
2248.00000000,2253.00000000,2104.00000000,2132.00000000,2768.61330000,2768.61330000
2235.00000000,2474.00000000,2113.00000000,2244.00000000,3701.87720000,3701.87720000
2446.00000000,2523.00000000,2177.00000000,2238.00000000,2179.48470000,2179.48470000
2392.00000000,2541.00000000,2354.00000000,2446.00000000,2062.51550000,2062.51550000
2468.00000000,2599.00000000,2375.00000000,2391.00000000,2509.49880000,2509.49880000
2420.00000000,2540.00000000,2328.00000000,2471.00000000,2054.48320000,2054.48320000
2332.00000000,2463.00000000,2321.00000000,2419.00000000,1679.96790000,1679.96790000
2391.00000000,2455.00000000,2291.00000000,2334.00000000,2179.97980000,2179.97980000
2359.00000000,2470.00000000,2297.00000000,2393.00000000,1674.35110000,1674.35110000
2495.00000000,2578.00000000,2336.00000000,2358.00000000,1841.10840000,1841.10840000
2683.00000000,2713.00000000,2473.00000000,2490.00000000,1606.95560000,1606.95560000
2680.00000000,2814.00000000,2668.00000000,2685.00000000,3119.96530000,3119.96530000
2691.00000000,2737.00000000,2629.00000000,2681.00000000,3226.83600000,3226.83600000
2567.00000000,2736.00000000,2551.00000000,2687.00000000,1237.83560000,1237.83560000
2676.00000000,2689.00000000,2542.00000000,2568.00000000,2209.44280000,2209.44280000
2445.00000000,2679.00000000,2397.00000000,2676.00000000,2416.87490000,2416.87490000
2422.00000000,2550.00000000,2407.00000000,2444.00000000,2397.43460000,2397.43460000
2347.00000000,2447.00000000,2337.00000000,2422.00000000,1435.20470000,1435.20470000
2372.00000000,2459.00000000,2233.00000000,2345.00000000,2128.72170000,2128.72170000
2475.00000000,2511.00000000,2364.00000000,2369.00000000,1418.37010000,1418.37010000
2370.00000000,2499.00000000,2326.00000000,2470.00000000,2334.43680000,2334.43680000
2326.00000000,2387.00000000,2208.00000000,2371.00000000,1458.87340000,1458.87340000
2377.00000000,2439.00000000,2308.00000000,2326.00000000,1186.37030000,1186.37030000
2303.00000000,2422.00000000,2202.00000000,2377.00000000,1614.58760000,1614.58760000
2229.00000000,2320.00000000,2163.00000000,2308.00000000,2055.65100000,2055.65100000
2467.00000000,2479.00000000,2201.00000000,2228.00000000,1559.45980000,1559.45980000
2451.00000000,2484.00000000,2380.00000000,2469.00000000,1053.81890000,1053.81890000
2338.00000000,2461.00000000,2286.00000000,2444.00000000,1244.02230000,1244.02230000
2516.00000000,2604.00000000,2324.00000000,2340.00000000,2654.11420000,2654.11420000
2747.00000000,2758.00000000,2500.00000000,2518.00000000,3004.74760000,3004.74760000
2618.00000000,2750.00000000,2593.00000000,2745.00000000,2810.25690000,2810.25690000
2603.00000000,2688.00000000,2574.00000000,2615.00000000,1739.64390000,1739.64390000
2581.00000000,2630.00000000,2355.00000000,2607.00000000,2740.63110000,2740.63110000
2608.00000000,2677.00000000,2488.00000000,2578.00000000,2706.75800000,2706.75800000
2749.00000000,2759.00000000,2257.00000000,2611.00000000,6440.99600000,6440.99600000
2973.00000000,2987.00000000,2692.00000000,2753.00000000,2829.40430000,2829.40430000
2973.00000000,3057.00000000,2897.00000000,2973.00000000,1723.39420000,1723.39420000
3057.00000000,3141.00000000,2950.00000000,2978.00000000,2004.26600000,2004.26600000
3086.00000000,3233.00000000,2963.00000000,3056.00000000,3923.90010000,3923.90010000
3082.00000000,3119.00000000,3011.00000000,3086.00000000,1323.04570000,1323.04570000
3092.00000000,3100.00000000,2847.00000000,3082.00000000,2288.62090000,2288.62090000
3096.00000000,3200.00000000,3016.00000000,3092.00000000,1720.06390000,1720.06390000
3305.00000000,3417.00000000,2942.00000000,3097.00000000,4204.70200000,4204.70200000
3095.00000000,3450.00000000,3072.00000000,3304.00000000,5646.16710000,5646.16710000
3044.00000000,3170.00000000,2954.00000000,3097.00000000,3680.60550000,3680.60550000
2852.00000000,3098.00000000,2831.00000000,3044.00000000,2735.06210000,2735.06210000
2949.00000000,2990.00000000,2826.00000000,2854.00000000,1447.34400000,1447.34400000
3126.00000000,3144.00000000,2931.00000000,2948.00000000,1788.01830000,1788.01830000
2950.00000000,3130.00000000,2930.00000000,3127.00000000,2053.98650000,2053.98650000
2805.00000000,3002.00000000,2773.00000000,2948.00000000,1932.40210000,1932.40210000
2805.00000000,3276.00000000,2670.00000000,2803.00000000,9018.14650000,9018.14650000
2811.00000000,2828.00000000,2662.00000000,2805.00000000,2854.85520000,2854.85520000
3022.00000000,3022.00000000,2711.00000000,2812.00000000,2680.75170000,2680.75170000
3050.00000000,3159.00000000,2970.00000000,3020.00000000,2936.17370000,2936.17370000
3118.00000000,3194.00000000,2929.00000000,3050.00000000,2358.61420000,2358.61420000
2878.00000000,3190.00000000,2878.00000000,3121.00000000,5384.72000000,5384.72000000
2991.00000000,3010.00000000,2789.00000000,2878.00000000,2803.84950000,2803.84950000
2957.00000000,3079.00000000,2900.00000000,2992.00000000,3064.29920000,3064.29920000
3135.00000000,3213.00000000,2777.00000000,2958.00000000,3962.45300000,3962.45300000
3300.00000000,3303.00000000,3096.00000000,3135.00000000,3138.27310000,3138.27310000
2972.00000000,3446.00000000,2953.00000000,3300.00000000,9534.00620000,9534.00620000
3027.00000000,3066.00000000,2911.00000000,2972.00000000,3016.13600000,3016.13600000
2946.00000000,3096.00000000,2803.00000000,3027.00000000,5435.55050000,5435.55050000
3011.00000000,3029.00000000,2858.00000000,2947.00000000,4584.17360000,4584.17360000
3218.00000000,3241.00000000,2880.00000000,3013.00000000,8659.26590000,8659.26590000
2800.00000000,3626.00000000,2794.00000000,3216.00000000,38712.72310000,38712.72310000
2452.00000000,2930.00000000,2429.00000000,2800.00000000,12116.11840000,12116.11840000
2422.00000000,2542.00000000,2348.00000000,2451.00000000,5480.06890000,5480.06890000
2380.00000000,2424.00000000,2325.00000000,2422.00000000,3518.18570000,3518.18570000
2454.00000000,2475.00000000,2351.00000000,2380.00000000,2852.09980000,2852.09980000
