open,high,low,close,5. volume,market cap
4.28900000,4.60000000,4.28500000,4.50500000,547618.00000000,547618.00000000
4.12500000,4.44600000,4.05600000,4.28900000,4040147.50000000,4040147.50000000
4.17400000,4.18600000,4.08000000,4.12400000,1829359.50000000,1829359.50000000
4.01200000,4.18400000,3.95400000,4.17400000,3049819.70000000,3049819.70000000
4.03100000,4.10100000,3.88000000,4.01400000,1538878.40000000,1538878.40000000
3.90200000,4.04000000,3.82600000,4.03400000,1685783.20000000,1685783.20000000
3.99800000,4.11800000,3.90000000,3.90400000,1688205.50000000,1688205.50000000
4.02900000,4.21900000,3.98900000,3.99700000,2940504.20000000,2940504.20000000
4.31400000,4.32200000,3.97800000,4.03000000,4100035.00000000,4100035.00000000
3.98800000,4.78400000,3.86000000,4.31400000,17589217.10000000,17589217.10000000
3.80700000,4.03100000,3.80200000,3.98800000,1546767.10000000,1546767.10000000
3.66400000,3.86600000,3.63800000,3.80700000,1919428.40000000,1919428.40000000
3.78500000,3.90200000,3.58200000,3.66400000,2846691.80000000,2846691.80000000
4.03200000,4.04800000,3.75800000,3.78300000,1589942.00000000,1589942.00000000
3.97300000,4.06600000,3.82500000,4.03200000,1498461.80000000,1498461.80000000
4.26200000,4.27300000,3.90900000,3.97400000,2904033.30000000,2904033.30000000
4.42100000,4.43000000,4.16400000,4.26300000,2720946.20000000,2720946.20000000
4.28400000,4.56300000,4.17000000,4.42200000,6238173.90000000,6238173.90000000
4.23000000,4.40400000,4.12900000,4.28200000,3530937.50000000,3530937.50000000
3.82900000,4.23400000,3.75300000,4.22900000,3202361.90000000,3202361.90000000
4.05300000,4.09300000,3.74600000,3.82900000,3277809.20000000,3277809.20000000
3.95200000,4.14200000,3.94200000,4.05200000,2469298.50000000,2469298.50000000
3.74900000,4.00500000,3.67500000,3.95200000,4036705.50000000,4036705.50000000
3.86400000,3.89400000,3.32600000,3.74900000,7577098.54000000,7577098.54000000
3.97900000,4.18900000,3.84200000,3.86500000,4561988.70000000,4561988.70000000
3.76500000,4.00900000,3.65200000,3.98000000,4686196.70000000,4686196.70000000
4.08400000,4.28800000,3.74600000,3.76400000,4947326.60000000,4947326.60000000
4.29900000,4.30500000,4.00800000,4.08300000,3976174.20000000,3976174.20000000
4.32100000,4.48600000,4.16500000,4.29900000,2700248.50000000,2700248.50000000
4.36700000,4.49200000,4.26900000,4.32100000,3825437.10000000,3825437.10000000
4.81600000,4.87900000,4.31600000,4.36500000,4657970.50000000,4657970.50000000
4.95500000,4.95800000,4.68300000,4.81600000,3682339.60000000,3682339.60000000
4.61000000,4.98100000,4.61000000,4.95700000,5269999.70000000,5269999.70000000
4.64800000,4.68900000,4.47100000,4.60800000,5614749.10000000,5614749.10000000
4.79600000,4.83200000,4.50800000,4.64900000,4515193.10000000,4515193.10000000
4.71600000,4.87400000,4.55300000,4.79600000,4872642.00000000,4872642.00000000
5.07200000,5.18600000,4.63400000,4.71600000,8186860.20000000,8186860.20000000
5.36200000,5.47200000,5.05600000,5.07100000,8010476.50000000,8010476.50000000
5.20800000,5.43600000,5.16500000,5.36300000,5578910.80000000,5578910.80000000
5.40700000,5.63200000,5.06100000,5.20700000,9275517.40000000,9275517.40000000
5.17300000,5.47000000,5.04300000,5.40400000,6409236.90000000,6409236.90000000
5.11700000,5.26500000,4.95400000,5.17300000,4160773.50000000,4160773.50000000
4.98300000,5.23400000,4.95000000,5.11700000,4154481.60000000,4154481.60000000
4.71900000,5.01300000,4.60600000,4.98300000,5554596.50000000,5554596.50000000
4.63200000,4.79800000,4.50200000,4.72100000,5098427.80000000,5098427.80000000
4.89000000,4.97400000,4.55600000,4.63100000,4386053.20000000,4386053.20000000
5.01600000,5.05900000,4.77100000,4.89100000,4899104.70000000,4899104.70000000
4.83700000,5.14800000,4.53200000,5.01400000,8863286.60000000,8863286.60000000
4.87200000,5.00400000,4.66600000,4.83800000,7332571.20000000,7332571.20000000
4.57600000,4.93000000,4.55000000,4.87200000,9886035.40000000,9886035.40000000
4.21900000,4.63000000,4.20300000,4.57600000,13781915.50000000,13781915.50000000
4.22900000,4.41600000,4.01500000,4.21900000,9591489.60000000,9591489.60000000
4.21100000,4.58600000,4.10800000,4.22800000,9583794.30000000,9583794.30000000
4.11600000,4.29700000,3.89200000,4.21200000,8963266.30000000,8963266.30000000
4.42600000,4.43100000,3.68600000,4.11700000,16503475.33000000,16503475.33000000
4.24600000,4.50300000,4.14700000,4.42700000,9284085.40000000,9284085.40000000
4.71500000,5.20000000,3.91200000,4.24700000,16340414.96000000,16340414.96000000
5.21600000,5.33500000,4.54900000,4.71500000,10637732.70000000,10637732.70000000
5.44000000,5.86100000,5.18900000,5.21500000,5728822.70000000,5728822.70000000
5.92600000,5.93600000,5.43800000,5.43900000,4735287.20000000,4735287.20000000
6.25600000,6.30000000,5.74000000,5.92700000,6062815.80000000,6062815.80000000
6.58600000,6.59000000,5.97200000,6.25500000,5798657.70000000,5798657.70000000
6.72500000,6.94400000,6.33000000,6.58500000,6580796.40000000,6580796.40000000
6.03200000,6.85300000,6.02300000,6.72600000,9985613.50000000,9985613.50000000
5.94600000,6.29800000,5.78300000,6.03300000,5833864.60000000,5833864.60000000
5.87900000,6.36000000,5.87100000,5.94700000,10275999.70000000,10275999.70000000
5.32000000,6.05900000,5.31700000,5.88000000,8459637.90000000,8459637.90000000
5.09400000,5.41300000,5.03400000,5.32000000,4545273.50000000,4545273.50000000
5.35300000,5.40600000,4.86000000,5.09400000,6882627.30000000,6882627.30000000
5.36000000,5.49700000,5.28700000,5.35200000,4457150.70000000,4457150.70000000
5.51300000,5.88600000,5.16300000,5.36000000,7698225.90000000,7698225.90000000
5.64500000,5.69100000,5.20300000,5.51100000,7718740.50000000,7718740.50000000
5.56800000,5.70000000,5.38400000,5.64600000,6719140.50000000,6719140.50000000
6.02700000,6.24500000,5.30500000,5.56900000,7465447.80000000,7465447.80000000
6.18900000,6.26000000,6.00000000,6.02600000,6590399.10000000,6590399.10000000
6.28300000,6.45500000,6.06400000,6.18800000,7692704.60000000,7692704.60000000
6.11600000,6.48300000,6.06900000,6.28200000,7091479.70000000,7091479.70000000
5.86900000,6.13000000,5.86800000,6.11500000,5043619.10000000,5043619.10000000
6.06200000,6.13900000,5.71800000,5.86700000,7079287.20000000,7079287.20000000
5.92400000,6.15100000,5.78000000,6.06200000,6916504.40000000,6916504.40000000
6.24500000,6.41600000,5.85600000,5.92500000,9665573.20000000,9665573.20000000
6.87100000,6.87300000,6.21300000,6.24400000,9088541.30000000,9088541.30000000
6.81500000,7.19700000,6.77400000,6.87000000,7166506.00000000,7166506.00000000
6.81700000,6.99300000,6.61300000,6.81400000,5548227.00000000,5548227.00000000
6.68500000,6.93800000,6.62200000,6.81600000,5534576.60000000,5534576.60000000
6.90700000,7.08200000,6.59500000,6.68500000,8430158.50000000,8430158.50000000
6.54500000,6.99700000,6.41100000,6.90600000,17420485.40000000,17420485.40000000
6.12900000,6.80000000,6.04700000,6.54600000,9379914.60000000,9379914.60000000
5.86400000,6.14500000,5.82300000,6.12800000,5255958.50000000,5255958.50000000
5.92000000,5.97400000,5.58200000,5.86400000,8606926.50000000,8606926.50000000
6.04200000,6.21600000,5.88400000,5.92100000,5295958.10000000,5295958.10000000
5.92400000,6.18400000,5.80500000,6.04200000,5512061.20000000,5512061.20000000
6.11800000,6.61900000,5.82300000,5.92400000,14294663.80000000,14294663.80000000
6.04300000,6.44400000,6.02900000,6.11700000,10790269.60000000,10790269.60000000
5.97500000,6.19100000,5.54500000,6.04100000,10991659.10000000,10991659.10000000
