open,high,low,close,5. volume,market cap
6.11300000,6.16700000,6.11000000,6.15500000,32342.90000000,32342.90000000
5.93400000,6.14600000,5.82100000,6.11300000,513611.20000000,513611.20000000
6.01700000,6.06500000,5.91700000,5.93400000,529163.20000000,529163.20000000
5.72700000,6.04600000,5.67100000,6.01700000,734937.50000000,734937.50000000
5.74900000,5.85000000,5.50000000,5.72600000,523936.60000000,523936.60000000
5.55600000,5.79600000,5.47700000,5.75300000,505588.60000000,505588.60000000
5.75400000,5.90300000,5.51900000,5.55600000,524381.50000000,524381.50000000
5.85800000,6.02600000,5.75400000,5.76500000,529015.00000000,529015.00000000
6.02500000,6.02600000,5.68400000,5.85800000,949920.80000000,949920.80000000
6.04200000,6.27100000,5.74400000,6.02900000,2295400.80000000,2295400.80000000
5.74600000,6.11400000,5.74300000,6.04300000,883096.90000000,883096.90000000
5.69400000,5.87500000,5.64400000,5.74800000,781737.40000000,781737.40000000
5.75800000,5.95100000,5.50200000,5.69600000,1000716.70000000,1000716.70000000
6.08400000,6.14400000,5.73600000,5.75800000,652865.20000000,652865.20000000
5.92900000,6.12700000,5.72200000,6.08400000,821838.00000000,821838.00000000
6.39400000,6.42400000,5.82100000,5.92800000,1115839.40000000,1115839.40000000
6.49100000,6.69400000,6.24500000,6.39800000,1406175.80000000,1406175.80000000
6.71000000,6.77300000,6.33500000,6.49100000,1341827.50000000,1341827.50000000
6.48800000,6.80800000,6.48600000,6.70900000,1691769.70000000,1691769.70000000
5.87900000,6.50300000,5.75500000,6.49100000,1275717.70000000,1275717.70000000
6.14700000,6.21100000,5.70000000,5.87900000,1114344.10000000,1114344.10000000
6.14500000,6.36500000,6.05300000,6.14400000,879800.80000000,879800.80000000
5.87800000,6.21900000,5.76300000,6.14100000,1767371.60000000,1767371.60000000
5.77000000,5.91600000,4.99200000,5.87800000,3818341.70000000,3818341.70000000
6.00100000,6.75000000,5.72800000,5.76900000,4147056.40000000,4147056.40000000
5.74200000,6.04300000,5.52600000,6.00000000,1627881.70000000,1627881.70000000
6.22700000,6.52800000,5.71100000,5.74300000,2347374.80000000,2347374.80000000
6.76500000,6.87600000,6.03900000,6.22600000,1845510.70000000,1845510.70000000
7.22100000,7.56400000,6.61000000,6.76500000,2985267.80000000,2985267.80000000
7.02000000,7.49500000,6.94100000,7.22400000,2129552.30000000,2129552.30000000
7.86900000,7.94600000,6.91500000,7.01600000,4665549.50000000,4665549.50000000
7.54900000,7.98900000,7.36400000,7.87200000,3810030.60000000,3810030.60000000
