open,high,low,close,5. volume,market cap
5.02300000,5.14200000,5.00900000,5.11800000,209952.90000000,209952.90000000
4.39500000,5.23900000,4.33900000,5.02200000,5368077.80000000,5368077.80000000
4.21200000,4.69000000,4.15100000,4.39500000,3234232.60000000,3234232.60000000
3.94300000,4.34000000,3.86400000,4.21400000,1944232.40000000,1944232.40000000
3.96400000,4.09700000,3.79200000,3.94200000,1876581.40000000,1876581.40000000
3.90100000,4.02900000,3.87000000,3.96500000,1469089.20000000,1469089.20000000
4.17800000,4.29100000,3.84300000,3.90200000,1536167.70000000,1536167.70000000
4.16400000,4.37400000,4.10900000,4.18100000,1628336.30000000,1628336.30000000
4.46800000,4.88000000,4.08200000,4.16800000,3045706.20000000,3045706.20000000
4.72800000,4.90700000,4.37200000,4.47300000,4863256.00000000,4863256.00000000
3.91400000,4.84500000,3.89100000,4.72900000,4903734.40000000,4903734.40000000
3.61500000,3.98000000,3.58400000,3.91400000,2872008.00000000,2872008.00000000
3.55400000,3.78200000,3.45600000,3.61500000,2163634.10000000,2163634.10000000
3.86300000,3.90300000,3.54000000,3.55300000,1364786.20000000,1364786.20000000
3.62000000,3.92500000,3.51600000,3.86200000,2702909.40000000,2702909.40000000
3.81100000,3.81400000,3.55400000,3.62100000,1120816.60000000,1120816.60000000
3.97000000,4.01600000,3.73300000,3.81200000,1249578.80000000,1249578.80000000
4.17600000,4.21100000,3.94100000,3.97200000,1619190.00000000,1619190.00000000
4.15400000,4.32500000,4.03100000,4.17700000,1600089.10000000,1600089.10000000
3.73700000,4.16100000,3.62800000,4.15300000,1464902.60000000,1464902.60000000
3.87300000,4.11400000,3.65100000,3.73500000,1883270.80000000,1883270.80000000
4.01800000,4.17500000,3.83900000,3.87200000,1554761.80000000,1554761.80000000
3.93500000,4.11300000,3.88200000,4.01500000,2444945.30000000,2444945.30000000
3.74500000,3.96200000,3.32100000,3.93400000,3229470.62500000,3229470.62500000
4.00200000,4.16700000,3.73000000,3.74800000,1326367.40000000,1326367.40000000
3.73000000,4.01900000,3.61400000,4.00200000,2041887.80000000,2041887.80000000
4.06600000,4.26800000,3.71200000,3.72900000,1913601.30000000,1913601.30000000
4.37000000,4.37000000,3.95300000,4.06300000,1209721.10000000,1209721.10000000
4.36300000,4.45700000,4.19100000,4.36900000,565055.10000000,565055.10000000
4.59000000,4.75000000,4.32100000,4.36400000,840841.50000000,840841.50000000
4.90000000,4.98400000,4.52600000,4.59600000,1780022.30000000,1780022.30000000
5.08900000,5.13400000,4.80900000,4.90200000,1484195.00000000,1484195.00000000
4.58100000,5.09000000,4.57200000,5.08700000,1650299.90000000,1650299.90000000
4.46100000,4.63000000,4.33900000,4.57900000,1243067.30000000,1243067.30000000
4.89400000,4.96000000,4.45100000,4.46100000,1550264.00000000,1550264.00000000
4.89200000,5.07200000,4.69100000,4.89400000,1193046.00000000,1193046.00000000
5.22900000,5.36500000,4.73400000,4.89200000,1414259.60000000,1414259.60000000
5.83500000,5.85200000,5.21300000,5.22900000,1670396.60000000,1670396.60000000
5.52900000,5.90000000,5.35800000,5.83300000,1341457.00000000,1341457.00000000
5.91200000,6.07000000,5.34200000,5.52600000,2073727.60000000,2073727.60000000
5.80200000,5.98000000,5.60600000,5.91200000,1733903.70000000,1733903.70000000
5.75200000,5.88900000,5.51300000,5.80200000,1354447.80000000,1354447.80000000
5.52700000,6.03300000,5.49600000,5.74900000,2187832.90000000,2187832.90000000
5.08300000,5.55100000,4.94100000,5.52800000,2313728.50000000,2313728.50000000
5.32600000,5.42800000,4.92100000,5.08500000,2496035.10000000,2496035.10000000
5.36900000,5.99600000,5.27400000,5.31800000,4300819.30000000,4300819.30000000
5.73300000,5.73900000,5.34600000,5.37000000,1726355.30000000,1726355.30000000
5.25000000,5.78900000,5.02200000,5.73200000,2835572.20000000,2835572.20000000
5.40400000,5.55000000,5.11000000,5.25300000,2370709.80000000,2370709.80000000
4.56500000,5.48700000,4.54900000,5.40000000,2333361.50000000,2333361.50000000
4.56300000,4.72000000,4.43100000,4.56200000,1420164.30000000,1420164.30000000
4.62800000,4.99700000,4.38100000,4.56700000,2449523.30000000,2449523.30000000
4.28800000,4.86800000,4.24200000,4.62400000,2682702.50000000,2682702.50000000
4.21500000,4.36900000,4.01200000,4.28500000,1715344.30000000,1715344.30000000
3.92900000,4.25900000,3.51200000,4.22100000,3612759.90000000,3612759.90000000
3.77100000,4.00500000,3.68400000,3.93700000,1338012.70000000,1338012.70000000
4.17300000,4.25300000,3.50400000,3.77300000,3167316.00000000,3167316.00000000
4.78200000,4.85000000,4.05900000,4.17500000,3549609.41100000,3549609.41100000
4.89700000,5.09100000,4.70500000,4.79300000,1711717.40000000,1711717.40000000
5.01200000,5.04100000,4.84000000,4.89100000,1901939.20000000,1901939.20000000
4.97800000,5.36300000,4.80100000,5.01400000,2251893.80000000,2251893.80000000
5.37700000,5.45700000,4.91100000,4.97600000,1421409.60000000,1421409.60000000
5.27500000,5.44300000,5.17400000,5.38100000,965245.70000000,965245.70000000
5.21500000,5.40700000,5.19800000,5.27400000,1033581.40000000,1033581.40000000
5.08200000,5.25400000,4.92100000,5.21500000,922426.80000000,922426.80000000
5.43100000,5.51300000,5.06100000,5.08300000,1696736.10000000,1696736.10000000
5.08600000,5.48400000,5.04600000,5.43600000,1272950.50000000,1272950.50000000
4.87300000,5.11900000,4.82100000,5.08600000,1394075.90000000,1394075.90000000
5.09600000,5.16200000,4.60500000,4.87000000,2380372.70000000,2380372.70000000
