open,high,low,close,5. volume,market cap
1.29400000,1.31100000,1.29000000,1.31100000,76870.60000000,76870.60000000
1.27100000,1.36600000,1.22400000,1.29200000,5544015.00000000,5544015.00000000
1.27300000,1.27400000,1.23900000,1.27100000,2389581.10000000,2389581.10000000
1.22300000,1.27700000,1.20700000,1.27300000,5603524.90000000,5603524.90000000
1.27200000,1.27500000,1.20200000,1.22300000,4929819.60000000,4929819.60000000
1.22500000,1.32300000,1.20600000,1.27000000,7482008.60000000,7482008.60000000
1.32400000,1.33500000,1.21500000,1.22300000,3986191.80000000,3986191.80000000
1.35500000,1.41200000,1.30200000,1.32400000,7335222.60000000,7335222.60000000
1.49700000,1.63700000,1.33100000,1.35500000,48880832.80000000,48880832.80000000
1.12300000,1.94000000,1.05600000,1.49900000,64648606.50000000,64648606.50000000
1.06000000,1.17400000,1.05900000,1.12400000,2510742.80000000,2510742.80000000
1.04800000,1.07600000,1.04100000,1.05900000,1648157.20000000,1648157.20000000
1.07600000,1.09600000,1.03400000,1.04700000,2117950.00000000,2117950.00000000
1.13200000,1.13800000,1.06500000,1.07600000,1937183.20000000,1937183.20000000
1.11100000,1.14200000,1.08900000,1.13200000,1414577.70000000,1414577.70000000
1.20000000,1.20200000,1.09800000,1.11100000,1981026.70000000,1981026.70000000
1.23700000,1.26300000,1.18100000,1.20100000,2040697.80000000,2040697.80000000
1.28200000,1.28500000,1.21400000,1.23700000,2732643.00000000,2732643.00000000
1.24800000,1.29300000,1.21800000,1.28100000,2652926.20000000,2652926.20000000
1.11800000,1.26400000,1.09400000,1.24600000,3078493.70000000,3078493.70000000
1.18500000,1.19800000,1.11200000,1.11700000,2224720.50000000,2224720.50000000
1.15900000,1.21200000,1.15400000,1.18500000,2165961.00000000,2165961.00000000
1.11400000,1.17500000,1.10800000,1.15900000,2508807.20000000,2508807.20000000
1.13600000,1.15200000,0.97300000,1.11400000,5230001.30000000,5230001.30000000
1.16300000,1.27600000,1.13500000,1.13600000,2485149.90000000,2485149.90000000
1.11300000,1.16200000,1.04600000,1.16200000,3318312.80000000,3318312.80000000
1.22900000,1.28100000,1.10600000,1.11000000,3098255.10000000,3098255.10000000
1.31500000,1.31800000,1.20700000,1.23000000,1693790.50000000,1693790.50000000
1.33800000,1.34800000,1.26900000,1.31500000,1237805.50000000,1237805.50000000
1.39100000,1.42300000,1.31400000,1.33600000,1901972.10000000,1901972.10000000
1.54800000,1.55600000,1.38300000,1.39100000,2632463.00000000,2632463.00000000
1.58700000,1.58800000,1.49700000,1.54800000,1300605.40000000,1300605.40000000
1.46800000,1.63600000,1.45800000,1.58700000,3149125.80000000,3149125.80000000
1.44800000,1.47500000,1.39500000,1.46500000,2117356.00000000,2117356.00000000
1.51400000,1.53800000,1.43900000,1.44500000,1653428.90000000,1653428.90000000
1.51100000,1.51500000,1.42400000,1.51500000,1963426.70000000,1963426.70000000
1.61900000,1.63700000,1.48400000,1.50900000,2609318.20000000,2609318.20000000
1.72400000,1.78000000,1.61100000,1.61900000,3338204.90000000,3338204.90000000
1.68900000,1.74600000,1.61700000,1.72100000,3429325.60000000,3429325.60000000
1.71500000,1.78400000,1.59000000,1.68700000,4058149.10000000,4058149.10000000
1.67400000,1.76400000,1.64100000,1.71500000,3571697.60000000,3571697.60000000
1.57800000,1.69900000,1.57800000,1.67600000,2246564.00000000,2246564.00000000
1.53800000,1.63500000,1.52000000,1.57700000,2518633.10000000,2518633.10000000
1.42400000,1.54800000,1.40400000,1.53800000,2218006.60000000,2218006.60000000
1.40300000,1.42700000,1.34700000,1.42500000,2930392.80000000,2930392.80000000
