open,high,low,close,5. volume,market cap
2.91400000,2.96600000,2.91100000,2.95900000,321133.80000000,321133.80000000
2.85000000,2.94500000,2.77400000,2.91400000,5780304.40000000,5780304.40000000
2.90200000,2.92600000,2.81500000,2.85000000,5366628.70000000,5366628.70000000
2.72100000,2.90600000,2.66400000,2.90200000,8435046.00000000,8435046.00000000
2.77700000,2.78600000,2.62800000,2.72100000,6331929.10000000,6331929.10000000
2.68800000,2.78900000,2.65600000,2.77600000,6056455.10000000,6056455.10000000
2.83200000,2.89200000,2.68400000,2.68800000,5155262.30000000,5155262.30000000
2.77500000,2.86900000,2.76900000,2.83200000,3974533.60000000,3974533.60000000
2.87000000,3.00800000,2.75200000,2.77500000,8326241.00000000,8326241.00000000
3.06000000,3.06700000,2.78400000,2.87100000,8267603.50000000,8267603.50000000
2.84100000,3.15100000,2.82300000,3.06000000,9751739.90000000,9751739.90000000
2.70700000,3.04100000,2.69100000,2.84200000,12471556.10000000,12471556.10000000
2.70600000,2.84500000,2.59800000,2.70700000,9113934.50000000,9113934.50000000
2.87600000,2.91300000,2.68800000,2.70700000,6246242.90000000,6246242.90000000
2.81700000,2.90900000,2.73400000,2.87600000,6219305.20000000,6219305.20000000
3.06800000,3.07600000,2.77700000,2.81700000,10011837.20000000,10011837.20000000
3.18200000,3.46000000,3.00400000,3.06800000,14402131.30000000,14402131.30000000
3.28600000,3.30700000,3.11700000,3.18100000,12220717.40000000,12220717.40000000
3.36100000,3.45000000,3.17200000,3.28600000,18142139.90000000,18142139.90000000
2.74900000,3.37900000,2.64300000,3.36000000,16928252.00000000,16928252.00000000
2.83900000,2.99200000,2.68800000,2.75000000,15172994.00000000,15172994.00000000
2.82400000,2.90600000,2.75900000,2.83900000,9860970.60000000,9860970.60000000
2.61500000,2.90200000,2.55500000,2.82400000,15684991.50000000,15684991.50000000
2.68600000,2.72200000,2.27100000,2.61500000,32575962.40000000,32575962.40000000
2.88300000,2.97800000,2.67500000,2.68700000,12976713.20000000,12976713.20000000
2.67500000,2.90800000,2.59500000,2.88300000,14166693.10000000,14166693.10000000
2.96500000,3.14600000,2.64800000,2.67600000,17110338.40000000,17110338.40000000
3.21900000,3.22400000,2.86900000,2.96500000,11078418.50000000,11078418.50000000
3.29800000,3.36500000,3.10400000,3.21800000,8524215.40000000,8524215.40000000
3.44600000,3.57000000,3.25800000,3.29900000,13559710.90000000,13559710.90000000
3.89800000,3.96700000,3.38900000,3.44600000,17255563.80000000,17255563.80000000
3.86000000,4.05200000,3.74800000,3.89900000,22213671.90000000,22213671.90000000
3.57200000,3.87100000,3.55800000,3.86000000,14096026.30000000,14096026.30000000
3.57600000,3.78200000,3.44800000,3.57100000,17721213.90000000,17721213.90000000
3.89900000,3.93900000,3.56800000,3.57600000,12139375.10000000,12139375.10000000
3.95200000,4.25000000,3.70900000,3.89900000,28127605.50000000,28127605.50000000
4.06500000,4.38800000,3.81200000,3.95200000,43349024.60000000,43349024.60000000
3.43900000,4.15000000,3.32300000,4.06300000,42124673.20000000,42124673.20000000
3.45100000,3.48000000,3.25200000,3.43900000,9624967.80000000,9624967.80000000
3.59500000,3.61000000,3.22700000,3.45100000,17799100.10000000,17799100.10000000
3.50500000,3.70400000,3.41300000,3.59500000,16973930.30000000,16973930.30000000
3.26600000,3.61400000,3.26600000,3.50500000,21265664.90000000,21265664.90000000
3.05100000,3.43800000,3.03700000,3.26700000,23068757.30000000,23068757.30000000
2.79800000,3.05800000,2.77100000,3.05100000,13735558.70000000,13735558.70000000
2.75000000,2.83400000,2.68200000,2.79800000,10416895.70000000,10416895.70000000
2.92100000,2.95300000,2.71000000,2.75100000,10123106.90000000,10123106.90000000
2.93800000,2.97700000,2.87400000,2.92000000,10156393.50000000,10156393.50000000
2.88000000,2.94800000,2.70500000,2.93800000,13643552.00000000,13643552.00000000
2.98800000,3.11500000,2.80900000,2.88000000,11214843.00000000,11214843.00000000
2.94400000,3.02400000,2.88200000,2.98700000,10112267.10000000,10112267.10000000
2.89300000,3.00600000,2.79600000,2.94300000,15570980.50000000,15570980.50000000
2.81200000,3.17500000,2.77100000,2.89500000,40030807.10000000,40030807.10000000
2.60500000,3.11500000,2.58500000,2.81200000,32751696.70000000,32751696.70000000
2.59600000,2.70900000,2.48400000,2.60500000,17981914.70000000,17981914.70000000
2.78400000,2.78400000,2.27400000,2.59700000,36458577.17200000,36458577.17200000
2.75900000,2.94100000,2.61400000,2.78400000,25576634.50000000,25576634.50000000
3.40900000,3.47200000,2.33600000,2.75800000,69853984.64700000,69853984.64700000
4.09400000,4.35600000,3.28000000,3.41100000,37245510.25300000,37245510.25300000
4.33300000,4.66500000,4.07600000,4.09300000,18892912.70000000,18892912.70000000
4.21300000,4.47900000,4.12600000,4.33400000,22545956.20000000,22545956.20000000
3.95800000,4.25200000,3.83300000,4.21400000,15711005.80000000,15711005.80000000
4.20600000,4.22100000,3.88700000,3.95700000,8350453.20000000,8350453.20000000
4.09300000,4.29500000,4.04100000,4.20500000,6150340.90000000,6150340.90000000
4.13600000,4.15900000,4.04500000,4.09200000,4966242.80000000,4966242.80000000
3.97900000,4.15000000,3.87500000,4.13600000,8185141.20000000,8185141.20000000
4.27400000,4.29600000,3.95700000,3.97900000,10207566.70000000,10207566.70000000
4.09600000,4.36400000,4.09300000,4.27200000,8058006.30000000,8058006.30000000
3.84000000,4.16100000,3.79900000,4.09600000,7857056.80000000,7857056.80000000
4.03600000,4.12800000,3.67800000,3.84000000,12237788.40000000,12237788.40000000
3.97300000,4.14600000,3.92500000,4.03600000,8504243.80000000,8504243.80000000
4.19000000,4.34000000,3.80000000,3.97200000,12768000.00000000,12768000.00000000
4.38300000,4.40200000,4.00400000,4.18900000,15563076.00000000,15563076.00000000
4.41200000,4.44800000,4.14900000,4.38400000,13758007.50000000,13758007.50000000
4.72500000,5.24400000,4.13800000,4.41100000,23220583.60000000,23220583.60000000
4.70400000,4.95000000,4.58500000,4.72400000,9180817.40000000,9180817.40000000
4.88200000,4.88300000,4.61600000,4.70300000,7149579.10000000,7149579.10000000
4.94100000,4.94700000,4.78300000,4.88300000,6273552.00000000,6273552.00000000
4.70900000,4.95600000,4.70400000,4.94200000,6538253.60000000,6538253.60000000
4.81100000,4.94200000,4.56100000,4.71000000,10525230.00000000,10525230.00000000
4.91400000,4.98800000,4.70700000,4.81200000,9352932.60000000,9352932.60000000
5.08300000,5.27900000,4.84100000,4.91300000,13148488.30000000,13148488.30000000
5.48100000,5.48200000,4.95400000,5.08300000,15994931.50000000,15994931.50000000
5.48400000,5.94600000,5.45000000,5.48100000,18865034.80000000,18865034.80000000
5.01700000,5.53700000,4.90100000,5.48300000,17964311.20000000,17964311.20000000
4.71500000,5.15800000,4.66200000,5.01600000,14214615.00000000,14214615.00000000
