open,high,low,close,5. volume,market cap
195.10000000,196.60000000,194.80000000,196.40000000,1442.95700000,1442.95700000
187.80000000,196.80000000,185.80000000,195.10000000,93270.81300000,93270.81300000
189.30000000,192.00000000,185.40000000,187.60000000,78835.17500000,78835.17500000
183.10000000,193.30000000,182.20000000,189.30000000,154716.81700000,154716.81700000
185.80000000,191.60000000,176.70000000,183.00000000,147211.04800000,147211.04800000
175.60000000,186.50000000,173.70000000,185.90000000,112903.14600000,112903.14600000
185.40000000,194.60000000,174.00000000,175.60000000,175340.03400000,175340.03400000
170.60000000,186.90000000,169.50000000,185.40000000,143653.50700000,143653.50700000
178.60000000,178.60000000,166.70000000,170.60000000,134645.37400000,134645.37400000
188.50000000,192.50000000,165.20000000,178.60000000,219210.90200000,219210.90200000
203.20000000,208.10000000,185.40000000,188.50000000,408028.72600000,408028.72600000
157.80000000,278.00000000,157.10000000,203.10000000,330849.45600000,330849.45600000
158.90000000,163.00000000,153.40000000,157.80000000,90975.04200000,90975.04200000
166.00000000,173.70000000,158.70000000,158.90000000,131838.86800000,131838.86800000
159.80000000,166.00000000,155.70000000,166.00000000,52279.23000000,52279.23000000
172.00000000,179.30000000,156.00000000,159.90000000,124552.31600000,124552.31600000
177.60000000,181.30000000,170.30000000,171.90000000,82667.76400000,82667.76400000
177.60000000,181.20000000,172.70000000,177.70000000,81818.71900000,81818.71900000
170.30000000,179.70000000,170.20000000,177.50000000,81134.11300000,81134.11300000
150.60000000,171.00000000,148.50000000,170.40000000,99977.82800000,99977.82800000
157.80000000,159.70000000,148.30000000,150.60000000,78036.48100000,78036.48100000
153.90000000,159.90000000,151.70000000,157.80000000,62181.08500000,62181.08500000
147.10000000,156.10000000,145.10000000,153.90000000,87359.78300000,87359.78300000
148.80000000,152.20000000,132.10000000,147.00000000,135585.41300000,135585.41300000
150.90000000,156.20000000,147.90000000,148.70000000,56618.40300000,56618.40300000
147.90000000,151.50000000,140.40000000,150.90000000,92666.05100000,92666.05100000
153.80000000,162.10000000,147.10000000,147.80000000,107435.56500000,107435.56500000
161.00000000,161.60000000,151.00000000,153.70000000,62983.40300000,62983.40300000
160.20000000,165.60000000,158.10000000,161.10000000,75555.45700000,75555.45700000
163.60000000,167.20000000,158.90000000,160.10000000,75841.72100000,75841.72100000
179.00000000,181.00000000,163.00000000,163.70000000,72969.55700000,72969.55700000
182.50000000,183.80000000,177.80000000,179.10000000,53746.81200000,53746.81200000
176.10000000,183.40000000,174.50000000,182.50000000,88686.00900000,88686.00900000
173.90000000,177.50000000,167.80000000,176.10000000,52005.53200000,52005.53200000
173.80000000,175.30000000,170.10000000,173.70000000,44129.19500000,44129.19500000
169.30000000,175.10000000,164.00000000,173.80000000,61676.54200000,61676.54200000
179.10000000,181.50000000,165.80000000,169.30000000,72362.44700000,72362.44700000
186.00000000,187.30000000,176.80000000,179.10000000,79638.92400000,79638.92400000
178.70000000,186.00000000,175.50000000,186.00000000,71665.38700000,71665.38700000
184.80000000,188.00000000,174.30000000,178.70000000,98514.81700000,98514.81700000
173.50000000,185.30000000,170.90000000,184.90000000,107354.90400000,107354.90400000
168.40000000,174.40000000,166.40000000,173.60000000,56709.73200000,56709.73200000
165.20000000,170.10000000,161.60000000,168.50000000,81783.65800000,81783.65800000
146.90000000,166.00000000,146.50000000,165.20000000,132574.31900000,132574.31900000
144.80000000,147.00000000,140.30000000,146.90000000,68719.04900000,68719.04900000
146.10000000,150.30000000,143.90000000,144.90000000,84731.17200000,84731.17200000
147.20000000,148.20000000,143.10000000,146.10000000,81974.21200000,81974.21200000
147.70000000,148.10000000,140.40000000,147.10000000,87609.09100000,87609.09100000
153.50000000,155.00000000,145.60000000,147.90000000,72118.86600000,72118.86600000
149.10000000,155.60000000,148.70000000,153.70000000,59540.43900000,59540.43900000
144.80000000,149.70000000,140.80000000,149.00000000,70739.18300000,70739.18300000
148.20000000,149.90000000,139.20000000,144.70000000,111453.96600000,111453.96600000
144.80000000,158.80000000,142.80000000,148.20000000,145776.63600000,145776.63600000
146.80000000,147.90000000,139.40000000,144.80000000,187566.55800000,187566.55800000
156.80000000,156.80000000,134.30000000,146.70000000,159872.14603000,159872.14603000
151.90000000,158.90000000,148.00000000,157.00000000,104277.47300000,104277.47300000
172.60000000,175.50000000,140.10000000,152.20000000,197370.32659000,197370.32659000
188.50000000,192.30000000,167.20000000,173.00000000,144845.65722000,144845.65722000
201.30000000,210.00000000,187.70000000,188.60000000,70143.96600000,70143.96600000
204.00000000,213.10000000,199.10000000,201.40000000,96928.78600000,96928.78600000
214.50000000,222.40000000,199.50000000,204.10000000,97886.26500000,97886.26500000
224.10000000,230.70000000,209.40000000,214.40000000,137316.69000000,137316.69000000
217.70000000,228.30000000,213.10000000,224.10000000,64171.98100000,64171.98100000
229.80000000,231.20000000,217.00000000,217.70000000,72202.65600000,72202.65600000
223.60000000,238.90000000,217.00000000,229.80000000,160561.27100000,160561.27100000
199.00000000,230.00000000,198.00000000,223.60000000,247661.83900000,247661.83900000
192.90000000,201.30000000,192.70000000,199.10000000,70516.19900000,70516.19900000
182.40000000,195.00000000,181.20000000,192.90000000,109879.48800000,109879.48800000
191.00000000,194.50000000,175.00000000,182.40000000,97440.27800000,97440.27800000
183.90000000,195.60000000,183.00000000,191.00000000,99503.82200000,99503.82200000
194.80000000,197.80000000,179.10000000,183.90000000,96940.22400000,96940.22400000
204.50000000,209.00000000,191.80000000,194.70000000,124417.03800000,124417.03800000
206.50000000,206.50000000,193.80000000,204.40000000,90650.39100000,90650.39100000
222.00000000,225.30000000,200.70000000,206.50000000,87849.52200000,87849.52200000
231.50000000,233.70000000,220.00000000,222.10000000,83491.13000000,83491.13000000
239.70000000,239.90000000,223.50000000,231.50000000,91828.90500000,91828.90500000
250.10000000,255.00000000,236.40000000,239.70000000,90050.41000000,90050.41000000
228.50000000,255.30000000,228.50000000,250.10000000,127610.75900000,127610.75900000
225.30000000,235.70000000,223.00000000,228.70000000,87680.87000000,87680.87000000
