open,high,low,close,5. volume,market cap
3.15100000,3.23300000,3.15000000,3.21300000,193448.50000000,193448.50000000
3.08100000,3.17400000,3.01600000,3.15100000,2750014.30000000,2750014.30000000
3.09800000,3.15600000,3.06300000,3.08100000,2314243.20000000,2314243.20000000
2.96900000,3.10500000,2.92200000,3.09900000,4380211.00000000,4380211.00000000
2.99500000,3.01200000,2.88200000,2.96900000,2233416.90000000,2233416.90000000
2.90600000,3.01700000,2.85700000,2.99700000,2281548.20000000,2281548.20000000
3.02400000,3.08400000,2.90400000,2.90500000,1748364.40000000,1748364.40000000
2.98500000,3.08300000,2.98100000,3.02400000,1656113.20000000,1656113.20000000
3.05300000,3.10900000,2.95900000,2.98500000,2875080.00000000,2875080.00000000
3.17400000,3.24200000,2.95600000,3.05300000,3590420.90000000,3590420.90000000
3.01000000,3.19000000,3.00800000,3.17400000,2746015.20000000,2746015.20000000
2.92000000,3.04300000,2.90600000,3.01000000,3109143.70000000,3109143.70000000
2.97300000,3.07800000,2.83900000,2.92000000,4634112.70000000,4634112.70000000
3.14600000,3.17600000,2.96000000,2.97300000,2190627.40000000,2190627.40000000
3.08100000,3.16700000,2.97600000,3.14600000,2469771.00000000,2469771.00000000
3.39100000,3.40100000,3.04000000,3.08200000,3489185.50000000,3489185.50000000
3.49300000,3.52200000,3.30100000,3.39300000,3040303.50000000,3040303.50000000
3.49600000,3.65000000,3.37000000,3.49200000,4801827.40000000,4801827.40000000
3.53500000,3.66800000,3.42200000,3.49400000,4375349.70000000,4375349.70000000
3.11400000,3.56600000,3.03600000,3.53500000,5683679.30000000,5683679.30000000
3.42700000,3.45200000,3.05500000,3.11400000,6217967.80000000,6217967.80000000
3.21000000,3.49000000,3.19800000,3.42700000,6094442.40000000,6094442.40000000
3.03200000,3.25500000,2.95900000,3.21000000,6790056.90000000,6790056.90000000
2.93700000,3.07200000,2.56000000,3.03200000,13725765.00000000,13725765.00000000
3.06500000,3.22600000,2.92800000,2.93500000,6445969.20000000,6445969.20000000
2.97200000,3.07800000,2.81500000,3.06500000,10809216.50000000,10809216.50000000
3.27000000,3.47500000,2.94300000,2.97100000,7941883.30000000,7941883.30000000
3.60100000,3.60400000,3.21800000,3.27000000,4335365.20000000,4335365.20000000
3.62100000,3.69900000,3.47200000,3.60000000,2691956.80000000,2691956.80000000
3.67200000,3.86200000,3.58800000,3.62200000,3568824.20000000,3568824.20000000
4.04200000,4.05500000,3.61400000,3.67300000,4329456.60000000,4329456.60000000
4.15000000,4.19200000,3.94500000,4.04200000,3029680.40000000,3029680.40000000
3.94400000,4.18800000,3.89800000,4.15000000,3178835.20000000,3178835.20000000
3.84700000,3.99800000,3.73200000,3.94400000,3379738.80000000,3379738.80000000
4.10700000,4.13000000,3.81300000,3.84700000,2753043.50000000,2753043.50000000
4.30500000,4.43100000,4.04500000,4.10800000,8172179.50000000,8172179.50000000
4.12000000,4.46800000,4.01700000,4.30700000,9095067.40000000,9095067.40000000
4.43800000,4.58000000,4.10500000,4.12000000,9091162.40000000,9091162.40000000
4.39600000,4.60600000,4.32200000,4.44100000,8846617.00000000,8846617.00000000
4.14400000,4.46000000,4.00300000,4.39400000,11811170.10000000,11811170.10000000
3.92400000,4.19400000,3.83500000,4.14400000,5489045.20000000,5489045.20000000
3.93400000,3.99900000,3.76800000,3.92200000,4378283.40000000,4378283.40000000
4.00900000,4.08000000,3.85600000,3.93300000,5256336.60000000,5256336.60000000
3.83500000,4.03200000,3.67300000,4.01100000,7506024.40000000,7506024.40000000
3.75400000,3.97200000,3.60700000,3.83800000,11357951.90000000,11357951.90000000
3.73900000,3.90000000,3.57000000,3.75100000,11277713.00000000,11277713.00000000
3.48800000,3.76900000,3.47400000,3.74000000,5710100.10000000,5710100.10000000
3.27000000,3.53000000,3.09800000,3.48800000,5897089.20000000,5897089.20000000
3.09400000,3.50500000,3.08800000,3.27000000,7549789.00000000,7549789.00000000
3.02700000,3.13600000,3.00400000,3.09400000,2315822.80000000,2315822.80000000
2.90600000,3.04700000,2.83000000,3.02600000,3668043.70000000,3668043.70000000
2.94500000,3.05400000,2.73600000,2.90400000,3618839.40000000,3618839.40000000
2.92200000,3.22900000,2.85300000,2.94800000,4396701.20000000,4396701.20000000
2.97100000,3.01900000,2.84100000,2.92000000,4356762.90000000,4356762.90000000
3.07900000,3.08000000,2.53900000,2.96800000,7196637.86000000,7196637.86000000
2.95300000,3.15900000,2.83600000,3.07900000,4255344.80000000,4255344.80000000
3.33400000,3.43600000,2.69700000,2.95800000,9362771.72000000,9362771.72000000
3.70200000,3.77000000,3.25800000,3.33500000,9546749.90000000,9546749.90000000
3.87600000,4.08500000,3.67800000,3.70200000,3173761.40000000,3173761.40000000
4.11200000,4.14300000,3.80700000,3.87800000,4202824.90000000,4202824.90000000
4.05200000,4.21000000,3.92500000,4.11200000,4303191.70000000,4303191.70000000
4.28800000,4.31300000,3.99400000,4.05000000,2444311.20000000,2444311.20000000
4.27400000,4.34300000,4.19500000,4.29000000,2184902.20000000,2184902.20000000
4.28900000,4.36100000,4.22600000,4.27700000,2369667.30000000,2369667.30000000
4.11900000,4.31900000,4.07400000,4.28700000,2880680.30000000,2880680.30000000
4.39000000,4.42400000,4.09100000,4.12000000,4485916.00000000,4485916.00000000
4.16800000,4.46100000,4.14600000,4.38300000,5728197.00000000,5728197.00000000
4.02700000,4.22400000,3.93600000,4.16800000,3526449.30000000,3526449.30000000
4.21500000,4.26400000,3.78200000,4.02600000,5556379.30000000,5556379.30000000
4.00600000,4.34600000,3.96800000,4.21700000,4970468.70000000,4970468.70000000
4.26000000,4.37100000,3.85900000,4.00500000,5133283.70000000,5133283.70000000
4.45500000,4.48500000,4.05000000,4.25300000,7526890.40000000,7526890.40000000
4.50700000,4.54500000,4.21400000,4.45200000,9656885.80000000,9656885.80000000
5.04400000,5.30500000,4.27600000,4.50900000,13471583.40000000,13471583.40000000
4.80400000,5.36500000,4.58100000,5.04300000,19157201.20000000,19157201.20000000
4.65400000,5.04500000,4.51300000,4.80300000,9831425.70000000,9831425.70000000
4.74700000,4.78700000,4.58300000,4.65400000,3501746.00000000,3501746.00000000
4.34100000,4.78400000,4.33800000,4.74600000,8479661.40000000,8479661.40000000
4.34400000,4.51800000,4.17900000,4.34000000,4293935.10000000,4293935.10000000
4.37500000,4.52600000,4.22000000,4.34400000,4103022.00000000,4103022.00000000
4.48700000,4.54000000,4.21300000,4.37300000,4951940.50000000,4951940.50000000
5.10000000,5.10600000,4.42100000,4.49100000,6733611.30000000,6733611.30000000
4.86500000,5.17000000,4.76700000,5.10200000,8752686.30000000,8752686.30000000
4.58500000,4.91300000,4.45400000,4.86400000,9826346.60000000,9826346.60000000
4.49500000,4.71900000,4.43800000,4.58300000,5413121.10000000,5413121.10000000
4.76900000,4.81000000,4.42700000,4.49600000,6895692.00000000,6895692.00000000
4.54100000,4.81500000,4.45100000,4.76900000,8128476.30000000,8128476.30000000
4.23100000,4.69300000,4.22900000,4.54400000,7649360.40000000,7649360.40000000
4.10400000,4.25700000,4.05100000,4.23200000,3580846.90000000,3580846.90000000
4.13800000,4.26200000,3.86700000,4.10600000,6281561.60000000,6281561.60000000
4.23900000,4.31000000,4.11700000,4.13900000,3220995.60000000,3220995.60000000
4.14200000,4.33900000,4.07600000,4.24100000,4068825.90000000,4068825.90000000
4.31000000,4.38800000,4.06000000,4.14000000,6623276.50000000,6623276.50000000
4.48800000,4.70100000,4.30000000,4.30900000,8002228.80000000,8002228.80000000
4.52000000,4.56600000,4.05500000,4.48700000,12018851.70000000,12018851.70000000
4.04700000,4.60300000,4.03000000,4.51500000,15579356.10000000,15579356.10000000
4.51200000,4.53100000,3.90700000,4.04900000,7917245.80000000,7917245.80000000
4.52600000,4.67600000,4.31800000,4.51000000,4361734.70000000,4361734.70000000
4.34000000,4.63300000,4.24500000,4.52300000,6989249.10000000,6989249.10000000
4.83800000,4.97300000,4.30400000,4.33500000,13917464.50000000,13917464.50000000
5.68400000,6.19000000,4.80600000,4.84000000,22100253.10000000,22100253.10000000
5.65600000,6.02000000,5.12000000,5.68300000,37294155.80000000,37294155.80000000
4.14900000,5.69900000,4.05700000,5.65600000,30994494.90000000,30994494.90000000
3.87400000,4.19600000,3.66000000,4.15000000,10129338.00000000,10129338.00000000
4.13600000,4.24200000,3.75000000,3.87100000,5893724.60000000,5893724.60000000
4.80100000,4.81200000,3.22600000,4.13400000,16140376.19000000,16140376.19000000
5.09900000,5.36300000,4.65000000,4.80000000,6372112.80000000,6372112.80000000
5.24000000,5.32300000,5.00900000,5.09800000,4785321.40000000,4785321.40000000
5.48700000,5.51600000,5.12400000,5.24500000,7039233.50000000,7039233.50000000
5.61100000,5.93000000,5.23900000,5.47900000,18156702.50000000,18156702.50000000
4.64600000,5.77800000,4.63000000,5.61000000,15547901.10000000,15547901.10000000
4.61800000,4.65800000,4.26300000,4.65300000,3111551.70000000,3111551.70000000
